"","cfrid","h_biom","d1_biom","d2_biom","h_catch","d1_catch","d2_catch","h_cons","d1_cons","d2_cons","h_sold","d1_sold","d2_sold"
"1",1,3.06239682347294,0.928528555315903,13.9916018826818,2.57541767443411,0.85602727248602,6.94575991764063,2.64609104242774,0.867538594314185,7.5493687751729,1.17173008419474,0.472950940228373,1.8973565770771
"2",2,2.7507959714075,0.909934687394464,11.103053673724,2.77497690877685,0.910681200689088,11.1958513517303,2.87858780938188,0.913852745966209,11.6080310535233,1.44633574545364,0.585771811640413,2.41412831888667
"3",3,2.2141155185959,0.821869579378973,5.61386424909141,2.27861556678732,0.836174348668257,6.10405020136332,2.30647888371398,0.83321714344627,5.99582007805366,1.70866197955224,0.773003935515528,4.40536271970657
"4",4,2.57185542958771,0.872828851936844,7.86341882754239,2.89706462736187,0.908579171419428,10.9384263468874,2.84122067938518,0.90286741497197,10.295206286453,2.42472535385868,0.875331699428865,8.02128524587857
"5",5,2.41590410598523,0.843635701956477,6.39532177429438,2.44516062903453,0.867274382888367,7.53434055732377,2.54180897001597,0.882400237192651,8.50341851146581,1.85090718808619,0.785077972691858,4.65285021049173
"6",6,2.01076676790288,0.703617909783244,3.37402303650892,2.90746657286494,0.909837047368741,11.0910298611195,3.03556438901827,0.922879597966259,12.9667373824437,2.29445668957017,0.864364376760461,7.37269440074714
"7",7,3.15695206969083,0.940295426286655,16.749135582162,3.31583706960421,0.94309551068307,17.5733059377879,3.38278457446206,0.948167985022082,19.2930952120234,2.60271249353113,0.891437610538077,9.21129320159947
"8",8,2.38490880355465,0.845071665615206,6.45459724311185,2.51411187733678,0.866233436189354,7.47570971035449,2.6712255336303,0.881835437583158,8.46277411388667,1.89455052358178,0.83171429750567,5.94227545880608
"9",9,2.36395672218813,0.853894658832443,6.84437674905516,2.9636167013795,0.91150164181824,11.2996446549458,2.83444278387939,0.894425606085299,9.47199375644014,2.4857435069411,0.892710677116591,9.32059195756784
"10",10,2.04297304740028,0.842793780706455,6.3610714925517,2.07439873871406,0.790323814215261,4.76925882764119,2.15978123995458,0.825319784393796,5.72474676957338,1.44897868136444,0.665556597188,2.99004253512552
"11",11,2.79447693744183,0.873709671735481,7.91826273430434,3.2588134124112,0.943735479278822,17.7731896972082,3.19537859340951,0.936763955941623,15.8137659445749,2.58390989803414,0.903608041105663,10.3743093456185
"12",12,2.62152259303933,0.895322108205952,9.55311558975109,1.80516273944966,0.765817376180186,4.2701716450552,1.69882492001418,0.709284485486163,3.43978890040422,1.04483044894,0.574886193548064,2.35231127482344
"13",13,2.51742749878886,0.878764762715304,8.24842696230063,2.51224053484177,0.878201154402866,8.21025843962128,2.59552440316737,0.891194610377602,9.1907211901031,1.78920615328016,0.762678247772187,4.2136887605653
"14",14,3.4445784662007,0.95448728038366,21.971879694945,3.04943582775024,0.919780881754526,12.4658562930092,3.04235851344187,0.919681671999134,12.4504583809217,1.97920844985856,0.82276464944857,5.64221526286214
"15",15,3.11377526650113,0.934422840454068,15.249211873832,2.79748518202252,0.894003353405873,9.43426072552197,2.91357763002622,0.909579783400276,11.0594736177955,2.04924492841294,0.814057675157631,5.37801170791933
"16",16,2.94249561116306,0.922520581446198,12.9066533882878,3.46933116156053,0.95482377635713,22.135537664796,3.44443644738687,0.954336746244579,21.899446880333,3.21138831105105,0.946441936237775,18.6713247222599
"17",17,2.04242627755455,0.737660522984171,3.81185482023227,2.90176332675013,0.870631851146399,7.72987794029308,2.86601998615699,0.84845123373921,6.59853606646435,2.26973822247074,0.846993462053069,6.53566843233093
"18",18,2.36830328193677,0.855792257702915,6.93444044037442,2.82613801455571,0.913577432330535,11.5710517167765,2.75690101409766,0.898435409043101,9.84595113886071,2.47469278224385,0.900401947914362,10.0403570055785
"19",19,2.21369499829556,0.851025646298477,6.71256478147604,2.45988441566855,0.869465280711203,7.66079710783753,2.49280742467311,0.86058187913076,7.17266875901946,1.87659715003613,0.799940114232594,4.9985033039688
"20",20,2.98313194609154,0.928741450202712,14.0334037507742,2.80237059308507,0.905985212391975,10.6366245719694,2.74409794959167,0.89928300517868,9.9288109397434,2.15212397049841,0.79065561835451,4.77681795011547
"21",21,2.04850775200235,0.779640149919755,4.53803176774647,1.93507415829272,0.77566098485715,4.45753940465165,2.05599315901609,0.792072428561075,4.80936699774677,1.38578742973956,0.675525116883851,3.08190264342291
"22",22,2.83651101703166,0.896041721982245,9.61924359529323,3.23305481712255,0.912506984117656,11.4294837126742,3.28249452820844,0.921686746844348,12.7692307458157,2.75636850581224,0.866493484999631,7.49027116764477
"23",23,2.40833617987819,0.844388013722239,6.42624018830428,2.85082851600285,0.915639064785686,11.8538278109359,2.85424432032056,0.909788775113767,11.0850950229433,1.96192936243951,0.785153652118755,4.6544891726656
"24",24,2.77387079906659,0.909064376147886,10.996790450641,2.88493642560524,0.910489126373616,11.1718270583971,2.86974372888363,0.911144064462827,11.2541722053183,1.15607927996491,0.61351792301835,2.58744210807861
"25",25,2.8784621580708,0.906916919289402,10.7430909287271,2.54502786445665,0.852169395891562,6.76449917817064,2.6135916561131,0.858687478079843,7.07651371875601,1.75380376431198,0.781492481496531,4.57650156319049
"26",26,2.787994851117,0.915150367266806,11.7855548431713,2.96388951976502,0.906993995035649,10.7519939210731,3.06251405298473,0.925202559010617,13.369441344149,2.0635462626784,0.79207724426838,4.80947838768916
"27",27,3.06026081816188,0.92893432296615,14.0714905104427,2.72766352233005,0.900519028987292,10.0521736953317,2.74433549059655,0.896420077965838,9.65438069812592,2.374041174154,0.857395885250167,7.01242037618813
"28",28,3.09829077583843,0.923313992639737,13.0401886135772,3.47303084229932,0.947205539006488,18.9413809930345,3.3661752559478,0.929271996833477,14.1386714629223,3.25761784479254,0.934949223954052,15.372606766346
"29",29,3.04352048571436,0.932684973317403,14.855524082538,2.77136209584405,0.876234683867151,8.07980806938354,2.95354930892355,0.898200182433501,9.82320031513579,1.75186605946711,0.75022244027776,4.00356221396362
"30",30,2.63029787243769,0.85696498640087,6.99129517198218,2.88324952664802,0.921340327063004,12.7129946345056,2.86059893031968,0.90928288457957,11.0232781913919,2.67335329226171,0.917579719265828,12.1329361061664
"31",31,3.23433569403195,0.940555392813591,16.8223838516446,3.28964389757088,0.929720730815792,14.2289470509278,3.27518367657711,0.928243395247037,13.9359993890835,2.38344665879929,0.851516473646672,6.7347538448166
"32",32,2.68201831069546,0.906204698258747,10.6615148246832,1.91673965454206,0.766249421152198,4.27806427230759,1.98773873921833,0.792521887733239,4.81978551411856,1.34603783287156,0.631742721496328,2.71549283170523
"33",33,3.07490805524451,0.934307569600017,15.2224540013404,2.57872877864078,0.796934125161927,4.92451033831959,3.13463385477116,0.913292611399722,11.5330425254763,1.84551850063144,0.662763530414215,2.9652783437932
"34",34,2.75366145524349,0.904779416750313,10.5019310517959,2.85422615065626,0.871051020275927,7.75500513567316,2.78615230167594,0.8793904561783,8.29121782831981,2.39515525062791,0.803980046789122,5.1015214707464
"35",35,3.17634887714904,0.936083734201952,15.6454697018695,2.70301735953725,0.88141187996159,8.43254787811883,2.79304604326005,0.898254701194615,9.82846393633152,1.85208405891359,0.717080401264551,3.5345730888551
"36",36,2.7259596418041,0.86055777009783,7.17142863178236,2.76123878457937,0.864908446883989,7.40238732129493,2.92706673266948,0.897366654212765,9.743422007045,0.341056119554283,0.124010231321468,1.14156584443736
"37",37,3.1364333650661,0.931937105290753,14.6922931249372,3.26636495041748,0.931151217340172,14.5245850597078,3.29303414772703,0.922958408399084,12.9800018304414,2.78756194326202,0.91217126266151,11.3857950177061
"38",38,2.96636334429363,0.914094378402589,11.6406817319408,3.54127003736894,0.949954879383619,19.9819680257235,3.42034358337417,0.937411153545674,15.9772875943599,2.53343900916088,0.883552415480917,8.58755468505334
"39",39,3.25976604618302,0.931826508279603,14.6684579997947,3.35673036856839,0.934345047113968,15.231143364551,3.41075711699458,0.934754618648596,15.3267553853983,2.91197764792887,0.903401627478316,10.3521412824582
"40",40,3.15766617100486,0.938162424080676,16.1713971664193,3.41960813203584,0.944633759122095,18.0615476894163,3.39039859933466,0.940823860620212,16.898702931296,1.72300077755472,0.725993174617142,3.64954412578133
