"","hhid","catch_species","consumption_species","sold_species","cfr"
"245",141,37,37,1,47
"246",143,27,27,3,47
"247",337,18,18,3,62
"248",338,31,29,16,62
"249",340,18,18,0,62
"250",342,25,23,5,62
"251",344,32,22,14,62
"252",346,36,35,7,62
"253",347,19,19,0,62
"254",348,21,19,0,62
"255",350,17,17,0,62
"256",351,25,23,0,62
"257",465,12,12,0,53
"258",466,18,17,0,53
"259",469,25,24,7,53
"260",470,27,25,6,53
"261",472,11,11,8,53
"262",473,15,15,1,53
"263",474,19,19,3,53
"264",475,11,11,0,53
"265",478,21,19,7,53
"266",480,35,35,5,53
"267",97,10,9,0,54
"268",98,10,8,0,54
"269",99,12,12,1,54
"270",101,7,7,0,54
"271",102,9,8,3,54
"272",103,24,23,8,54
"273",106,20,18,3,54
"274",107,5,5,2,54
"275",109,27,22,11,54
"276",110,32,21,23,54
"277",449,36,33,1,65
"278",451,59,47,6,65
"279",452,72,68,14,65
"280",453,50,46,9,65
"281",454,49,38,13,65
"282",458,24,19,3,65
"283",460,38,37,0,65
"284",462,51,33,40,65
"285",463,38,27,23,65
"286",464,52,37,43,65
"287",401,10,4,0,54
"288",402,34,34,0,54
"289",403,24,24,0,54
"290",405,24,24,0,54
"291",408,52,46,24,54
"292",409,27,27,9,54
"293",412,20,18,7,54
"294",413,23,23,5,54
"295",414,14,14,4,54
"296",415,25,23,2,54
"297",497,21,18,12,59
"298",498,22,22,4,59
"299",500,14,14,0,59
"300",504,20,19,4,59
"301",505,21,16,12,59
"302",507,19,19,0,59
"303",508,22,21,4,59
"304",510,16,14,4,59
"305",511,22,22,7,59
"306",339,4,4,0,67
"307",385,43,43,2,67
"308",386,66,59,21,67
"309",388,28,24,1,67
"310",389,26,26,0,67
"311",390,35,33,0,67
"312",393,26,26,9,67
"313",394,41,41,2,67
"314",396,28,25,5,67
"315",397,42,36,2,67
"316",399,41,41,0,67
"317",400,45,33,6,67
"318",33,14,14,0,40
"319",34,23,15,4,40
"320",37,10,10,0,40
"321",38,14,14,3,40
"322",39,6,4,0,40
"323",40,14,11,4,40
"324",41,13,13,4,40
"325",43,6,6,1,40
"326",44,9,7,0,40
"327",45,12,8,0,40
"328",46,9,9,0,40
"329",47,12,11,1,40
"330",48,9,8,0,40
"331",418,35,31,9,56
"332",419,17,13,7,56
"333",420,31,31,5,56
"334",423,22,21,5,56
"335",424,44,41,0,56
"336",425,32,28,15,56
"337",426,3,3,0,56
"338",427,45,36,28,56
"339",429,15,13,13,56
"340",430,50,41,22,56
"341",432,21,19,5,56
"342",562,14,13,0,49
"343",563,24,22,6,49
"344",564,10,10,4,49
"345",565,9,9,0,49
"346",566,18,16,2,49
"347",567,20,20,0,49
"348",570,27,21,20,49
"349",573,24,19,16,49
"350",574,25,24,13,49
"351",576,19,16,4,49
"352",577,12,12,4,69
"353",578,4,4,0,69
"354",581,3,3,0,69
"355",582,12,12,0,69
"356",585,24,22,0,69
"357",586,25,25,0,69
"358",587,12,12,0,69
"359",589,18,17,1,69
"360",590,18,16,10,69
"361",592,6,6,3,69
"362",356,35,35,0,49
"363",357,17,17,0,49
"364",358,20,20,0,49
"365",359,28,27,0,49
"366",360,7,7,0,49
"367",361,25,25,0,49
"368",363,24,24,6,49
"369",364,18,18,0,49
"370",365,22,16,0,49
"371",368,14,14,0,49
"372",370,24,23,0,65
"373",371,36,36,7,65
"374",374,20,20,0,65
"375",375,50,41,0,65
"376",376,35,35,3,65
"377",378,4,4,0,65
"378",379,60,60,8,65
"379",380,8,8,0,65
"380",381,36,32,17,65
"381",382,30,24,28,65
"382",383,30,29,21,65
"383",384,30,29,4,65
"384",275,20,20,12,78
"385",276,39,39,1,78
"386",278,41,32,0,78
"387",279,51,43,21,78
"388",280,21,21,0,78
"389",282,14,14,0,78
"390",283,29,29,0,78
"391",284,37,37,0,78
"392",285,25,25,0,78
"393",288,22,15,0,78
"394",289,23,23,0,74
"395",290,39,37,6,74
"396",291,57,56,0,74
"397",292,44,42,4,74
"398",293,41,37,0,74
"399",297,24,20,0,74
"400",300,52,48,26,74
"401",301,35,35,0,74
"402",303,40,39,1,74
"403",304,38,18,30,74
"404",305,72,70,4,60
"405",306,34,34,1,60
"406",310,28,28,0,60
"407",311,25,25,0,60
"408",312,32,32,0,60
"409",313,48,47,6,60
"410",316,37,37,0,60
"411",318,49,47,15,60
"412",319,38,38,4,60
"413",320,40,36,0,60
