cfrid,year,month,scode_biom,sgroup_biom,sname_biom,totalweight_biom,timekey1,timekey2,timekey3
"1. Ang Chork",2013,11,4,1,"Mystus mysticetus",333.9999999999999,5,5,4
"1. Ang Chork",2013,11,8,2,"Hemibagrus spilopterus/nemurus",17.2,5,5,4
"1. Ang Chork",2013,11,12,3,"Cyclocheilichthys lagleri",791.9999999999999,5,5,4
"1. Ang Chork",2013,11,16,5,"Puntius brevis",10.2,5,5,4
"1. Ang Chork",2013,11,17,5,"Puntius sp. (cf. masyai)",43.1,5,5,4
"1. Ang Chork",2013,11,21,6,"Labiobarbus leptocheilus",69.29999999999998,5,5,4
"1. Ang Chork",2013,11,22,8,"Henicorhynchus siamensis",113.5,5,5,4
"1. Ang Chork",2013,11,24,9,"Esomus metallicus",82.30000000000001,5,5,4
"1. Ang Chork",2013,11,49,16,"Parambassis wolffii",487.9,5,5,4
"1. Ang Chork",2013,11,52,17,"Trichogaster microlepis",32,5,5,4
"1. Ang Chork",2013,11,63,21,"Xenentodon cancila",249.6,5,5,4
"1. Ang Chork",2013,11,66,22,"Kryptopterus cheveyi",212.7,5,5,4
"1. Ang Chork",2013,11,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",129.4,5,5,4
"1. Ang Chork",2013,11,70,26,"Mastacembelus armatus",1.1,5,5,4
"1. Ang Chork",2013,11,75,27,"Acanthopsoides/Acantopsis spp",5.7,5,5,4
"1. Ang Chork",2013,11,108,38,"Paralaubuca typus",17.2,5,5,4
"1. Ang Chork",2013,11,128,7,"Thynnichthys thynnoides",.9,5,5,4
"1. Ang Chork",2013,11,137,43,"Monotrete cochinchinensis",4.6,5,5,4
"1. Ang Chork",2014,2,1,1,"Mystus albolineatus",157.2,6,6,
"1. Ang Chork",2014,2,4,1,"Mystus mysticetus",585.5000000000001,6,6,
"1. Ang Chork",2014,2,8,2,"Hemibagrus spilopterus/nemurus",634.5999999999999,6,6,
"1. Ang Chork",2014,2,12,3,"Cyclocheilichthys lagleri",1799.8,6,6,
"1. Ang Chork",2014,2,15,4,"Barbonymus gonionotus",364,6,6,
"1. Ang Chork",2014,2,17,5,"Puntius sp. (cf. masyai)",2857.9,6,6,
"1. Ang Chork",2014,2,21,6,"Labiobarbus leptocheilus",178.2,6,6,
"1. Ang Chork",2014,2,22,8,"Henicorhynchus siamensis",132.9,6,6,
"1. Ang Chork",2014,2,24,9,"Esomus metallicus",39.3,6,6,
"1. Ang Chork",2014,2,43,14,"Channa striata",738.9,6,6,
"1. Ang Chork",2014,2,47,15,"Pristolepis fasciata",156.6,6,6,
"1. Ang Chork",2014,2,49,16,"Parambassis wolffii",429.1,6,6,
"1. Ang Chork",2014,2,52,17,"Trichogaster microlepis",14.6,6,6,
"1. Ang Chork",2014,2,59,19,"Notopterus notopterus",648.3000000000001,6,6,
"1. Ang Chork",2014,2,63,21,"Xenentodon cancila",398,6,6,
"1. Ang Chork",2014,2,65,22,"Kryptopterus dissitus",141.4,6,6,
"1. Ang Chork",2014,2,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",729.1000000000001,6,6,
"1. Ang Chork",2014,2,68,25,"Macrognathus siamensis",138.4,6,6,
"1. Ang Chork",2014,2,69,25,"Macrognathus semiocellatus",12.8,6,6,
"1. Ang Chork",2014,2,74,27,"Acantopsis sp. ""stripe""",11.4,6,6,
"1. Ang Chork",2014,2,78,29,"Oxyeleotris marmorata",7.1,6,6,
"1. Ang Chork",2014,2,99,34,"Puntius orphoides",94.2,6,6,
"1. Ang Chork",2014,2,104,36,"Labeo chrysophekadion",9.9,6,6,
"1. Ang Chork",2014,2,128,7,"Thynnichthys thynnoides",24.8,6,6,
"1. Ang Chork",2014,2,139,1,"Leiocassis/Pseudomystus siamensis",41.2,6,6,
"1. Ang Chork",2014,2,147,34,"Osteochilus microcephalus",7.1,6,6,
"1. Ang Chork",2014,5,1,1,"Mystus albolineatus",29,7,7,5
"1. Ang Chork",2014,5,4,1,"Mystus mysticetus",83.2,7,7,5
"1. Ang Chork",2014,5,12,3,"Cyclocheilichthys lagleri",99.2,7,7,5
"1. Ang Chork",2014,5,15,4,"Barbonymus gonionotus",110.9,7,7,5
"1. Ang Chork",2014,5,21,6,"Labiobarbus leptocheilus",58.80000000000001,7,7,5
"1. Ang Chork",2014,5,22,8,"Henicorhynchus siamensis",113.4,7,7,5
"1. Ang Chork",2014,5,24,9,"Esomus metallicus",83,7,7,5
"1. Ang Chork",2014,5,38,12,"Anabas testudineus",100.7,7,7,5
"1. Ang Chork",2014,5,40,13,"Clarias batrachus",104.1,7,7,5
"1. Ang Chork",2014,5,43,14,"Channa striata",99.90000000000001,7,7,5
"1. Ang Chork",2014,5,52,17,"Trichogaster microlepis",78.09999999999999,7,7,5
"1. Ang Chork",2014,5,53,17,"Trichopodus trichopterus",140.9,7,7,5
"1. Ang Chork",2014,5,58,18,"Trichopsis vittata",.5,7,7,5
"1. Ang Chork",2014,5,59,19,"Notopterus notopterus",142.2,7,7,5
"1. Ang Chork",2014,5,65,22,"Kryptopterus dissitus",12.7,7,7,5
"1. Ang Chork",2014,5,68,25,"Macrognathus siamensis",13.7,7,7,5
"1. Ang Chork",2014,5,99,34,"Puntius orphoides",127.7,7,7,5
"1. Ang Chork",2014,5,108,38,"Paralaubuca typus",1,7,7,5
"1. Ang Chork",2014,8,2,1,"Mystus singaringan",27.7,8,8,
"1. Ang Chork",2014,8,4,1,"Mystus mysticetus",141.6,8,8,
"1. Ang Chork",2014,8,9,3,"Anematichthys/Cyclocheilichthys apogon",20.3,8,8,
"1. Ang Chork",2014,8,12,3,"Cyclocheilichthys lagleri",132.9,8,8,
"1. Ang Chork",2014,8,21,6,"Labiobarbus leptocheilus",16.6,8,8,
"1. Ang Chork",2014,8,38,12,"Anabas testudineus",60.7,8,8,
"1. Ang Chork",2014,8,43,14,"Channa striata",477.8,8,8,
"1. Ang Chork",2014,8,65,22,"Kryptopterus dissitus",30.7,8,8,
"1. Ang Chork",2014,8,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",26.1,8,8,
"1. Ang Chork",2014,8,68,25,"Macrognathus siamensis",119.5,8,8,
"1. Ang Chork",2014,8,69,25,"Macrognathus semiocellatus",9.300000000000001,8,8,
"1. Ang Chork",2014,8,99,34,"Puntius orphoides",13.8,8,8,
"1. Ang Chork",2014,11,1,1,"Mystus albolineatus",47.2,9,9,6
"1. Ang Chork",2014,11,4,1,"Mystus mysticetus",1143.3,9,9,6
"1. Ang Chork",2014,11,9,3,"Anematichthys/Cyclocheilichthys apogon",37.8,9,9,6
"1. Ang Chork",2014,11,12,3,"Cyclocheilichthys lagleri",1284.9,9,9,6
"1. Ang Chork",2014,11,15,4,"Barbonymus gonionotus",486.4,9,9,6
"1. Ang Chork",2014,11,16,5,"Puntius brevis",98.40000000000001,9,9,6
"1. Ang Chork",2014,11,17,5,"Puntius sp. (cf. masyai)",197,9,9,6
"1. Ang Chork",2014,11,21,6,"Labiobarbus leptocheilus",232.9,9,9,6
"1. Ang Chork",2014,11,24,9,"Esomus metallicus",186.3,9,9,6
"1. Ang Chork",2014,11,27,9,"Amblypharyngodon chulabhornae",24.2,9,9,6
"1. Ang Chork",2014,11,37,11,"Puntioplites proctozystron",57.5,9,9,6
"1. Ang Chork",2014,11,38,12,"Anabas testudineus",58.09999999999999,9,9,6
"1. Ang Chork",2014,11,43,14,"Channa striata",193.1,9,9,6
"1. Ang Chork",2014,11,47,15,"Pristolepis fasciata",5.699999999999999,9,9,6
"1. Ang Chork",2014,11,49,16,"Parambassis wolffii",288.7,9,9,6
"1. Ang Chork",2014,11,52,17,"Trichogaster microlepis",24.8,9,9,6
"1. Ang Chork",2014,11,53,17,"Trichopodus trichopterus",4.6,9,9,6
"1. Ang Chork",2014,11,58,18,"Trichopsis vittata",1,9,9,6
"1. Ang Chork",2014,11,59,19,"Notopterus notopterus",532.1,9,9,6
"1. Ang Chork",2014,11,63,21,"Xenentodon cancila",118,9,9,6
"1. Ang Chork",2014,11,65,22,"Kryptopterus dissitus",50.7,9,9,6
"1. Ang Chork",2014,11,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",96.5,9,9,6
"1. Ang Chork",2014,11,68,25,"Macrognathus siamensis",209.8,9,9,6
"1. Ang Chork",2014,11,70,26,"Mastacembelus armatus",7.3,9,9,6
"1. Ang Chork",2014,11,75,27,"Acanthopsoides/Acantopsis spp",15.3,9,9,6
"1. Ang Chork",2014,11,78,29,"Oxyeleotris marmorata",63.4,9,9,6
"1. Ang Chork",2014,11,84,32,"Syncrossus helodes",127.7,9,9,6
"1. Ang Chork",2014,11,99,34,"Puntius orphoides",68.8,9,9,6
"1. Ang Chork",2014,11,128,7,"Thynnichthys thynnoides",20.4,9,9,6
"1. Ang Chork",2014,11,134,49,"Phalacronotus bleekeri",95.90000000000001,9,9,6
"1. Ang Chork",2015,2,1,1,"Mystus albolineatus",85.5,10,10,
"1. Ang Chork",2015,2,3,1,"Mystus multiradiatus",102.9,10,10,
"1. Ang Chork",2015,2,4,1,"Mystus mysticetus",544,10,10,
"1. Ang Chork",2015,2,8,2,"Hemibagrus spilopterus/nemurus",49,10,10,
"1. Ang Chork",2015,2,9,3,"Anematichthys/Cyclocheilichthys apogon",24,10,10,
