cfrid,year,month,scode_biom,sgroup_biom,sname_biom,totalweight_biom,timekey1,timekey2,timekey3
"14. Boeng Rolum",2014,11,47,15,"Pristolepis fasciata",6.2,9,9,6
"14. Boeng Rolum",2014,11,48,16,"Parambassis apogonoides",64.39999999999999,9,9,6
"14. Boeng Rolum",2014,11,49,16,"Parambassis wolffii",40.09999999999999,9,9,6
"14. Boeng Rolum",2014,11,53,17,"Trichopodus trichopterus",4,9,9,6
"14. Boeng Rolum",2014,11,63,21,"Xenentodon cancila",25.3,9,9,6
"14. Boeng Rolum",2014,11,64,22,"Micronema hexapterus",24.2,9,9,6
"14. Boeng Rolum",2014,11,68,25,"Macrognathus siamensis",14.4,9,9,6
"14. Boeng Rolum",2014,11,75,27,"Acanthopsoides/Acantopsis spp",4.5,9,9,6
"14. Boeng Rolum",2014,11,85,32,"Yasuhikotakia modesta",3.6,9,9,6
"14. Boeng Rolum",2014,11,102,34,"Osteochilus vittatus/lini/hasselti",13.6,9,9,6
"14. Boeng Rolum",2014,11,108,38,"Paralaubuca typus",63.4,9,9,6
"14. Boeng Rolum",2014,11,133,43,"Tetraodon fluviatilis",22.5,9,9,6
"14. Boeng Rolum",2015,2,6,1,"Mystus gulio",43.09999999999999,10,10,
"14. Boeng Rolum",2015,2,11,3,"Anematichthys/Cyclocheilichthys armatus",77.50999999999999,10,10,
"14. Boeng Rolum",2015,2,12,3,"Cyclocheilichthys lagleri",78.5,10,10,
"14. Boeng Rolum",2015,2,15,4,"Barbonymus gonionotus",507.7,10,10,
"14. Boeng Rolum",2015,2,16,5,"Puntius brevis",2.2,10,10,
"14. Boeng Rolum",2015,2,20,6,"Labiobarbus siamensis",40.1,10,10,
"14. Boeng Rolum",2015,2,37,11,"Puntioplites proctozystron",112.4,10,10,
"14. Boeng Rolum",2015,2,42,13,"Clarias meladerma",133,10,10,
"14. Boeng Rolum",2015,2,43,14,"Channa striata",290,10,10,
"14. Boeng Rolum",2015,2,49,16,"Parambassis wolffii",35.4,10,10,
"14. Boeng Rolum",2015,2,52,17,"Trichogaster microlepis",39.3,10,10,
"14. Boeng Rolum",2015,2,59,19,"Notopterus notopterus",436.9,10,10,
"14. Boeng Rolum",2015,2,64,22,"Micronema hexapterus",12.5,10,10,
"14. Boeng Rolum",2015,2,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",89,10,10,
"14. Boeng Rolum",2015,2,107,38,"Oxygaster pointoni",8.199999999999999,10,10,
"14. Boeng Rolum",2015,2,134,49,"Phalacronotus bleekeri",110.3,10,10,
"14. Boeng Rolum",2015,5,6,1,"Mystus gulio",43.09999999999999,11,11,7
"14. Boeng Rolum",2015,5,7,1,"Mystus bocourti",13.8,11,11,7
"14. Boeng Rolum",2015,5,12,3,"Cyclocheilichthys lagleri",49.9,11,11,7
"14. Boeng Rolum",2015,5,15,4,"Barbonymus gonionotus",482,11,11,7
"14. Boeng Rolum",2015,5,20,6,"Labiobarbus siamensis",40.1,11,11,7
"14. Boeng Rolum",2015,5,37,11,"Puntioplites proctozystron",112.4,11,11,7
"14. Boeng Rolum",2015,5,42,13,"Clarias meladerma",133,11,11,7
"14. Boeng Rolum",2015,5,43,14,"Channa striata",290,11,11,7
"14. Boeng Rolum",2015,5,52,17,"Trichogaster microlepis",39.3,11,11,7
"14. Boeng Rolum",2015,5,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",11,11,11,7
"14. Boeng Rolum",2015,8,1,1,"Mystus albolineatus",32.5,12,12,
"14. Boeng Rolum",2015,8,2,1,"Mystus singaringan",12.2,12,12,
"14. Boeng Rolum",2015,8,8,2,"Hemibagrus spilopterus/nemurus",1.5,12,12,
"14. Boeng Rolum",2015,8,12,3,"Cyclocheilichthys lagleri",3.5,12,12,
"14. Boeng Rolum",2015,8,48,16,"Parambassis apogonoides",20.9,12,12,
"14. Boeng Rolum",2015,8,49,16,"Parambassis wolffii",20.1,12,12,
"14. Boeng Rolum",2015,8,53,17,"Trichopodus trichopterus",2.2,12,12,
"14. Boeng Rolum",2015,8,60,19,"Chitala blanci",2.6,12,12,
"14. Boeng Rolum",2015,8,63,21,"Xenentodon cancila",32.8,12,12,
"14. Boeng Rolum",2015,8,69,25,"Macrognathus semiocellatus",11.9,12,12,
"14. Boeng Rolum",2015,8,86,33,"Pangasianodon hypophthalmus",2.3,12,12,
"14. Boeng Rolum",2015,8,108,38,"Paralaubuca typus",6.1,12,12,
"14. Boeng Rolum",2015,8,139,1,"Leiocassis/Pseudomystus siamensis",7.2,12,12,
"14. Boeng Rolum",2015,11,2,1,"Mystus singaringan",303.5,13,13,8
"14. Boeng Rolum",2015,11,4,1,"Mystus mysticetus",132.7,13,13,8
"14. Boeng Rolum",2015,11,6,1,"Mystus gulio",90,13,13,8
"14. Boeng Rolum",2015,11,8,2,"Hemibagrus spilopterus/nemurus",112.4,13,13,8
"14. Boeng Rolum",2015,11,9,3,"Anematichthys/Cyclocheilichthys apogon",4.2,13,13,8
"14. Boeng Rolum",2015,11,11,3,"Anematichthys/Cyclocheilichthys armatus",1166.76,13,13,8
"14. Boeng Rolum",2015,11,12,3,"Cyclocheilichthys lagleri",618.5,13,13,8
"14. Boeng Rolum",2015,11,15,4,"Barbonymus gonionotus",237.6,13,13,8
"14. Boeng Rolum",2015,11,20,6,"Labiobarbus siamensis",169.6,13,13,8
"14. Boeng Rolum",2015,11,22,8,"Henicorhynchus siamensis",82.30000000000001,13,13,8
"14. Boeng Rolum",2015,11,23,8,"Henicorhynchus lobatus",397.9,13,13,8
"14. Boeng Rolum",2015,11,25,9,"Esomus longimanus",136.5,13,13,8
"14. Boeng Rolum",2015,11,29,9,"Rasbora aurotaenia",32,13,13,8
"14. Boeng Rolum",2015,11,36,10,"Clupeoides borneensis",5.4,13,13,8
"14. Boeng Rolum",2015,11,47,15,"Pristolepis fasciata",4.3,13,13,8
"14. Boeng Rolum",2015,11,48,16,"Parambassis apogonoides",189.5,13,13,8
"14. Boeng Rolum",2015,11,50,16,"Parambassis siamensis",591.1,13,13,8
"14. Boeng Rolum",2015,11,52,17,"Trichogaster microlepis",771.6999999999999,13,13,8
"14. Boeng Rolum",2015,11,53,17,"Trichopodus trichopterus",1064.7,13,13,8
"14. Boeng Rolum",2015,11,61,19,"Chitala ornata",78.90000000000001,13,13,8
"14. Boeng Rolum",2015,11,63,21,"Xenentodon cancila",43.4,13,13,8
"14. Boeng Rolum",2015,11,64,22,"Micronema hexapterus",2.2,13,13,8
"14. Boeng Rolum",2015,11,65,22,"Kryptopterus dissitus",110.4,13,13,8
"14. Boeng Rolum",2015,11,74,27,"Acantopsis sp. ""stripe""",12.4,13,13,8
"14. Boeng Rolum",2015,11,82,32,"Yasuhikotakia lecontei",8.300000000000001,13,13,8
"14. Boeng Rolum",2015,11,85,32,"Yasuhikotakia modesta",11.5,13,13,8
"14. Boeng Rolum",2015,11,107,38,"Oxygaster pointoni",533.4,13,13,8
"14. Boeng Rolum",2015,11,108,38,"Paralaubuca typus",368.2000000000001,13,13,8
"14. Boeng Rolum",2015,11,126,10,"Clupeichthys aesarnensis",9.4,13,13,8
"14. Boeng Rolum",2015,11,128,7,"Thynnichthys thynnoides",44.90000000000001,13,13,8
"14. Boeng Rolum",2015,11,133,43,"Tetraodon fluviatilis",9.699999999999999,13,13,8
"14. Boeng Rolum",2015,11,134,49,"Phalacronotus bleekeri",22.9,13,13,8
"14. Boeng Rolum",2015,11,137,43,"Monotrete cochinchinensis",26.9,13,13,8
"14. Boeng Rolum",2015,11,138,9,"Rasbora caudimaculata",2.1,13,13,8
"14. Boeng Rolum",2015,11,142,45,"Barbonymus altus",4.2,13,13,8
"14. Boeng Rolum",2015,11,147,34,"Osteochilus microcephalus",38.6,13,13,8
"14. Boeng Rolum",2015,11,156,0,"Crossocheilus reticulatus",7.7,13,13,8
"14. Boeng Rolum",2015,11,159,61,"Cyclocheilichthys enoplos",18.5,13,13,8
"14. Boeng Rolum",2015,11,163,0,"Pangasius pleurotaenia",14.2,13,13,8
"15. Boeng Romlech",2012,11,1,1,"Mystus albolineatus",90,1,1,1
"15. Boeng Romlech",2012,11,4,1,"Mystus mysticetus",52,1,1,1
"15. Boeng Romlech",2012,11,5,1,"Mystus atrifasciatus",188,1,1,1
"15. Boeng Romlech",2012,11,6,1,"Mystus gulio",6,1,1,1
"15. Boeng Romlech",2012,11,12,3,"Cyclocheilichthys lagleri",257,1,1,1
"15. Boeng Romlech",2012,11,15,4,"Barbonymus gonionotus",1241,1,1,1
"15. Boeng Romlech",2012,11,16,5,"Puntius brevis",130,1,1,1
"15. Boeng Romlech",2012,11,21,6,"Labiobarbus leptocheilus",167,1,1,1
"15. Boeng Romlech",2012,11,24,9,"Esomus metallicus",450,1,1,1
"15. Boeng Romlech",2012,11,37,11,"Puntioplites proctozystron",225,1,1,1
"15. Boeng Romlech",2012,11,38,12,"Anabas testudineus",28,1,1,1
"15. Boeng Romlech",2012,11,40,13,"Clarias batrachus",222,1,1,1
"15. Boeng Romlech",2012,11,43,14,"Channa striata",905,1,1,1
"15. Boeng Romlech",2012,11,50,16,"Parambassis siamensis",5,1,1,1
"15. Boeng Romlech",2012,11,52,17,"Trichogaster microlepis",11,1,1,1
"15. Boeng Romlech",2012,11,53,17,"Trichopodus trichopterus",25,1,1,1
"15. Boeng Romlech",2012,11,56,18,"Trichopsis schalleri",3,1,1,1
"15. Boeng Romlech",2012,11,59,19,"Notopterus notopterus",73,1,1,1
"15. Boeng Romlech",2012,11,64,22,"Micronema hexapterus",11,1,1,1
"15. Boeng Romlech",2012,11,66,22,"Kryptopterus cheveyi",14,1,1,1
"15. Boeng Romlech",2012,11,67,23,"Ompok bimaculatus/Hemisilurus mekongensis",242,1,1,1
"15. Boeng Romlech",2012,11,68,25,"Macrognathus siamensis",291,1,1,1
"15. Boeng Romlech",2012,11,78,29,"Oxyeleotris marmorata",1196,1,1,1
"15. Boeng Romlech",2013,2,4,1,"Mystus mysticetus",372.4,2,2,
"15. Boeng Romlech",2013,2,8,2,"Hemibagrus spilopterus/nemurus",786.5,2,2,
"15. Boeng Romlech",2013,2,10,3,"Anematichthys repasson",40.8,2,2,
"15. Boeng Romlech",2013,2,12,3,"Cyclocheilichthys lagleri",300.2,2,2,
"15. Boeng Romlech",2013,2,17,5,"Puntius sp. (cf. masyai)",301.8,2,2,
"15. Boeng Romlech",2013,2,19,5,"Puntius rhombeus",99.8,2,2,
"15. Boeng Romlech",2013,2,21,6,"Labiobarbus leptocheilus",954.3,2,2,
"15. Boeng Romlech",2013,2,22,8,"Henicorhynchus siamensis",33.5,2,2,
"15. Boeng Romlech",2013,2,24,9,"Esomus metallicus",397.4,2,2,
"15. Boeng Romlech",2013,2,37,11,"Puntioplites proctozystron",161.8,2,2,
"15. Boeng Romlech",2013,2,38,12,"Anabas testudineus",18,2,2,
"15. Boeng Romlech",2013,2,40,13,"Clarias batrachus",369,2,2,
"15. Boeng Romlech",2013,2,52,17,"Trichogaster microlepis",143.1,2,2,
"15. Boeng Romlech",2013,2,59,19,"Notopterus notopterus",77.69999999999999,2,2,
"15. Boeng Romlech",2013,2,100,4,"Hypsibarbus vernayi",351.1,2,2,
"15. Boeng Romlech",2013,2,110,24,"Ompok hypophthalmus/urbaini",344.4,2,2,
"15. Boeng Romlech",2013,2,128,7,"Thynnichthys thynnoides",140.5,2,2,
"15. Boeng Romlech",2013,2,149,48,"Wallago attu",20.2,2,2,
"15. Boeng Romlech",2013,5,2,1,"Mystus singaringan",8.800000000000001,3,3,2
"15. Boeng Romlech",2013,5,5,1,"Mystus atrifasciatus",103.2,3,3,2
"15. Boeng Romlech",2013,5,6,1,"Mystus gulio",112.1,3,3,2
"15. Boeng Romlech",2013,5,8,2,"Hemibagrus spilopterus/nemurus",222,3,3,2
"15. Boeng Romlech",2013,5,9,3,"Anematichthys/Cyclocheilichthys apogon",48.8,3,3,2
"15. Boeng Romlech",2013,5,10,3,"Anematichthys repasson",64.40000000000001,3,3,2
"15. Boeng Romlech",2013,5,11,3,"Anematichthys/Cyclocheilichthys armatus",67.40000000000001,3,3,2
"15. Boeng Romlech",2013,5,12,3,"Cyclocheilichthys lagleri",14.5,3,3,2
"15. Boeng Romlech",2013,5,13,4,"Hypsibarbus lagleri",2675,3,3,2
"15. Boeng Romlech",2013,5,14,4,"Hypsibarbus malcolmi",3875.2,3,3,2
"15. Boeng Romlech",2013,5,15,4,"Barbonymus gonionotus",941,3,3,2
"15. Boeng Romlech",2013,5,21,6,"Labiobarbus leptocheilus",4248.3,3,3,2
"15. Boeng Romlech",2013,5,22,8,"Henicorhynchus siamensis",591.3,3,3,2
"15. Boeng Romlech",2013,5,24,9,"Esomus metallicus",38.9,3,3,2
"15. Boeng Romlech",2013,5,37,11,"Puntioplites proctozystron",620.8,3,3,2
"15. Boeng Romlech",2013,5,38,12,"Anabas testudineus",1020.8,3,3,2
"15. Boeng Romlech",2013,5,40,13,"Clarias batrachus",199.2,3,3,2
"15. Boeng Romlech",2013,5,43,14,"Channa striata",1167.5,3,3,2
"15. Boeng Romlech",2013,5,52,17,"Trichogaster microlepis",170.1,3,3,2
"15. Boeng Romlech",2013,5,53,17,"Trichopodus trichopterus",133,3,3,2
"15. Boeng Romlech",2013,5,59,19,"Notopterus notopterus",122.1,3,3,2
"15. Boeng Romlech",2013,5,68,25,"Macrognathus siamensis",994.4,3,3,2
"15. Boeng Romlech",2013,5,86,33,"Pangasianodon hypophthalmus",900,3,3,2
"15. Boeng Romlech",2013,5,100,4,"Hypsibarbus vernayi",383.3,3,3,2
"15. Boeng Romlech",2013,5,110,24,"Ompok hypophthalmus/urbaini",353.2,3,3,2
"15. Boeng Romlech",2013,5,128,7,"Thynnichthys thynnoides",100,3,3,2
"15. Boeng Romlech",2013,5,146,34,"Osteochilus waandersii",37,3,3,2
"15. Boeng Romlech",2013,5,147,34,"Osteochilus microcephalus",79,3,3,2
"15. Boeng Romlech",2013,5,149,48,"Wallago attu",5.2,3,3,2
"15. Boeng Romlech",2013,5,150,4,"Hypsibarbus wetmorei",947.6,3,3,2
"15. Boeng Romlech",2013,8,1,1,"Mystus albolineatus",75.90000000000001,4,4,3
"15. Boeng Romlech",2013,8,5,1,"Mystus atrifasciatus",8.1,4,4,3
"15. Boeng Romlech",2013,8,9,3,"Anematichthys/Cyclocheilichthys apogon",2.6,4,4,3
"15. Boeng Romlech",2013,8,12,3,"Cyclocheilichthys lagleri",56.9,4,4,3
"15. Boeng Romlech",2013,8,21,6,"Labiobarbus leptocheilus",329,4,4,3
"15. Boeng Romlech",2013,8,24,9,"Esomus metallicus",39.3,4,4,3
"15. Boeng Romlech",2013,8,27,9,"Amblypharyngodon chulabhornae",2.1,4,4,3
"15. Boeng Romlech",2013,8,38,12,"Anabas testudineus",43.2,4,4,3
"15. Boeng Romlech",2013,8,52,17,"Trichogaster microlepis",115.7,4,4,3
"15. Boeng Romlech",2013,8,53,17,"Trichopodus trichopterus",7.2,4,4,3
"15. Boeng Romlech",2013,8,57,18,"Trichopsis pumila",3.3,4,4,3
"15. Boeng Romlech",2013,8,75,27,"Acanthopsoides/Acantopsis spp",57,4,4,3
"15. Boeng Romlech",2013,8,78,29,"Oxyeleotris marmorata",81.5,4,4,3
"15. Boeng Romlech",2013,8,149,48,"Wallago attu",7.3,4,4,3
"15. Boeng Romlech",2013,11,1,1,"Mystus albolineatus",150.6,5,5,4
"15. Boeng Romlech",2013,11,8,2,"Hemibagrus spilopterus/nemurus",120.1,5,5,4
"15. Boeng Romlech",2013,11,15,4,"Barbonymus gonionotus",478.9,5,5,4
"15. Boeng Romlech",2013,11,16,5,"Puntius brevis",13.3,5,5,4
"15. Boeng Romlech",2013,11,21,6,"Labiobarbus leptocheilus",1533.8,5,5,4
"15. Boeng Romlech",2013,11,29,9,"Rasbora aurotaenia",194.8,5,5,4
"15. Boeng Romlech",2013,11,38,12,"Anabas testudineus",63.2,5,5,4
"15. Boeng Romlech",2013,11,40,13,"Clarias batrachus",134,5,5,4
"15. Boeng Romlech",2013,11,42,13,"Clarias meladerma",235.6,5,5,4
"15. Boeng Romlech",2013,11,43,14,"Channa striata",470.3,5,5,4
"15. Boeng Romlech",2013,11,52,17,"Trichogaster microlepis",722.0999999999999,5,5,4
"15. Boeng Romlech",2013,11,53,17,"Trichopodus trichopterus",63.5,5,5,4
"15. Boeng Romlech",2013,11,58,18,"Trichopsis vittata",6,5,5,4
"15. Boeng Romlech",2013,11,59,19,"Notopterus notopterus",659.0999999999999,5,5,4
"15. Boeng Romlech",2013,11,68,25,"Macrognathus siamensis",128.4,5,5,4
"15. Boeng Romlech",2013,11,76,28,"Monopterus albus",34.9,5,5,4
"15. Boeng Romlech",2013,11,78,29,"Oxyeleotris marmorata",247.8,5,5,4
"15. Boeng Romlech",2013,11,110,24,"Ompok hypophthalmus/urbaini",615.8,5,5,4
"15. Boeng Romlech",2014,2,1,1,"Mystus albolineatus",151.4,6,6,
"15. Boeng Romlech",2014,2,8,2,"Hemibagrus spilopterus/nemurus",63.8,6,6,
"15. Boeng Romlech",2014,2,10,3,"Anematichthys repasson",137.1,6,6,
"15. Boeng Romlech",2014,2,21,6,"Labiobarbus leptocheilus",739.9,6,6,
"15. Boeng Romlech",2014,2,24,9,"Esomus metallicus",16.8,6,6,
"15. Boeng Romlech",2014,2,37,11,"Puntioplites proctozystron",157.4,6,6,
"15. Boeng Romlech",2014,2,38,12,"Anabas testudineus",255.3,6,6,
"15. Boeng Romlech",2014,2,40,13,"Clarias batrachus",357.3,6,6,
"15. Boeng Romlech",2014,2,41,13,"Clarias macrocephalus",122.5,6,6,
"15. Boeng Romlech",2014,2,43,14,"Channa striata",391.3,6,6,
"15. Boeng Romlech",2014,2,52,17,"Trichogaster microlepis",765.9000000000001,6,6,
"15. Boeng Romlech",2014,2,59,19,"Notopterus notopterus",512.6,6,6,
"15. Boeng Romlech",2014,2,78,29,"Oxyeleotris marmorata",48.9,6,6,
"15. Boeng Romlech",2014,2,100,4,"Hypsibarbus vernayi",583.4,6,6,
"15. Boeng Romlech",2014,2,110,24,"Ompok hypophthalmus/urbaini",8.5,6,6,
"15. Boeng Romlech",2014,5,1,1,"Mystus albolineatus",108.3,7,7,5
"15. Boeng Romlech",2014,5,8,2,"Hemibagrus spilopterus/nemurus",48.7,7,7,5
"15. Boeng Romlech",2014,5,12,3,"Cyclocheilichthys lagleri",85.60000000000001,7,7,5
"15. Boeng Romlech",2014,5,15,4,"Barbonymus gonionotus",220.6,7,7,5
"15. Boeng Romlech",2014,5,20,6,"Labiobarbus siamensis",113.9,7,7,5
"15. Boeng Romlech",2014,5,21,6,"Labiobarbus leptocheilus",2101.9,7,7,5
"15. Boeng Romlech",2014,5,24,9,"Esomus metallicus",144.5,7,7,5
"15. Boeng Romlech",2014,5,37,11,"Puntioplites proctozystron",308.7,7,7,5
"15. Boeng Romlech",2014,5,41,13,"Clarias macrocephalus",176,7,7,5
"15. Boeng Romlech",2014,5,52,17,"Trichogaster microlepis",336,7,7,5
"15. Boeng Romlech",2014,5,53,17,"Trichopodus trichopterus",10.2,7,7,5
"15. Boeng Romlech",2014,5,59,19,"Notopterus notopterus",438.4,7,7,5
"15. Boeng Romlech",2014,5,100,4,"Hypsibarbus vernayi",74.90000000000001,7,7,5
"15. Boeng Romlech",2014,5,107,38,"Oxygaster pointoni",12,7,7,5
"15. Boeng Romlech",2014,8,3,1,"Mystus multiradiatus",69.7,8,8,
"15. Boeng Romlech",2014,8,4,1,"Mystus mysticetus",62.2,8,8,
"15. Boeng Romlech",2014,8,12,3,"Cyclocheilichthys lagleri",1076.7,8,8,
"15. Boeng Romlech",2014,8,16,5,"Puntius brevis",9.4,8,8,
"15. Boeng Romlech",2014,8,21,6,"Labiobarbus leptocheilus",286.3,8,8,
"15. Boeng Romlech",2014,8,24,9,"Esomus metallicus",81.70000000000002,8,8,
"15. Boeng Romlech",2014,8,40,13,"Clarias batrachus",159.6,8,8,
"15. Boeng Romlech",2014,8,50,16,"Parambassis siamensis",9.800000000000001,8,8,
"15. Boeng Romlech",2014,8,52,17,"Trichogaster microlepis",19,8,8,
"15. Boeng Romlech",2014,8,59,19,"Notopterus notopterus",415.7,8,8,
"15. Boeng Romlech",2014,8,78,29,"Oxyeleotris marmorata",87,8,8,
"15. Boeng Romlech",2014,8,100,4,"Hypsibarbus vernayi",194.7,8,8,
"15. Boeng Romlech",2014,8,107,38,"Oxygaster pointoni",25.6,8,8,
"15. Boeng Romlech",2014,8,110,24,"Ompok hypophthalmus/urbaini",58.59999999999999,8,8,
"15. Boeng Romlech",2014,11,12,3,"Cyclocheilichthys lagleri",6.1,9,9,6
"15. Boeng Romlech",2014,11,24,9,"Esomus metallicus",93.8,9,9,6
"15. Boeng Romlech",2014,11,38,12,"Anabas testudineus",29.7,9,9,6
"15. Boeng Romlech",2014,11,43,14,"Channa striata",304.2,9,9,6
"15. Boeng Romlech",2014,11,52,17,"Trichogaster microlepis",1015.9,9,9,6
"15. Boeng Romlech",2014,11,53,17,"Trichopodus trichopterus",16.1,9,9,6
"15. Boeng Romlech",2014,11,59,19,"Notopterus notopterus",395.6,9,9,6
"15. Boeng Romlech",2014,11,68,25,"Macrognathus siamensis",154.9,9,9,6
"15. Boeng Romlech",2014,11,69,25,"Macrognathus semiocellatus",14.3,9,9,6
"15. Boeng Romlech",2014,11,78,29,"Oxyeleotris marmorata",800.1,9,9,6
"15. Boeng Romlech",2014,11,100,4,"Hypsibarbus vernayi",175.5,9,9,6
"15. Boeng Romlech",2014,11,107,38,"Oxygaster pointoni",4.4,9,9,6
"15. Boeng Romlech",2014,11,110,24,"Ompok hypophthalmus/urbaini",80.5,9,9,6
"15. Boeng Romlech",2014,11,143,18,"Betta prima",1.5,9,9,6
"15. Boeng Romlech",2015,2,4,1,"Mystus mysticetus",154.2,10,10,
"15. Boeng Romlech",2015,2,9,3,"Anematichthys/Cyclocheilichthys apogon",19.8,10,10,
"15. Boeng Romlech",2015,2,12,3,"Cyclocheilichthys lagleri",35.9,10,10,
"15. Boeng Romlech",2015,2,15,4,"Barbonymus gonionotus",188.7,10,10,
"15. Boeng Romlech",2015,2,21,6,"Labiobarbus leptocheilus",164.6,10,10,
"15. Boeng Romlech",2015,2,24,9,"Esomus metallicus",873.0000000000001,10,10,
"15. Boeng Romlech",2015,2,38,12,"Anabas testudineus",60.2,10,10,
"15. Boeng Romlech",2015,2,42,13,"Clarias meladerma",295.5,10,10,
"15. Boeng Romlech",2015,2,43,14,"Channa striata",378,10,10,
"15. Boeng Romlech",2015,2,52,17,"Trichogaster microlepis",1404.4,10,10,
"15. Boeng Romlech",2015,2,59,19,"Notopterus notopterus",425.9,10,10,
"15. Boeng Romlech",2015,2,78,29,"Oxyeleotris marmorata",110.3,10,10,
"15. Boeng Romlech",2015,2,86,33,"Pangasianodon hypophthalmus",324.5,10,10,
"15. Boeng Romlech",2015,2,100,4,"Hypsibarbus vernayi",353.01,10,10,
"15. Boeng Romlech",2015,2,110,24,"Ompok hypophthalmus/urbaini",53.8,10,10,
"15. Boeng Romlech",2015,2,149,48,"Wallago attu",70.09999999999999,10,10,
"15. Boeng Romlech",2015,2,150,4,"Hypsibarbus wetmorei",99.40000000000001,10,10,
"15. Boeng Romlech",2015,5,5,1,"Mystus atrifasciatus",15.5,11,11,7
"15. Boeng Romlech",2015,5,11,3,"Anematichthys/Cyclocheilichthys armatus",386.1,11,11,7
"15. Boeng Romlech",2015,5,21,6,"Labiobarbus leptocheilus",522.9,11,11,7
"15. Boeng Romlech",2015,5,24,9,"Esomus metallicus",1270.9,11,11,7
"15. Boeng Romlech",2015,5,38,12,"Anabas testudineus",33.2,11,11,7
"15. Boeng Romlech",2015,5,40,13,"Clarias batrachus",572.9,11,11,7
"15. Boeng Romlech",2015,5,50,16,"Parambassis siamensis",1.8,11,11,7
"15. Boeng Romlech",2015,5,52,17,"Trichogaster microlepis",813.0999999999999,11,11,7
"15. Boeng Romlech",2015,5,53,17,"Trichopodus trichopterus",31.6,11,11,7
"15. Boeng Romlech",2015,5,59,19,"Notopterus notopterus",1195.7,11,11,7
"15. Boeng Romlech",2015,5,100,4,"Hypsibarbus vernayi",55.2,11,11,7
"15. Boeng Romlech",2015,5,102,34,"Osteochilus vittatus/lini/hasselti",46.2,11,11,7
"15. Boeng Romlech",2015,5,107,38,"Oxygaster pointoni",715.7,11,11,7
"15. Boeng Romlech",2015,5,110,24,"Ompok hypophthalmus/urbaini",124.9,11,11,7
"15. Boeng Romlech",2015,8,1,1,"Mystus albolineatus",34.2,12,12,
"15. Boeng Romlech",2015,8,12,3,"Cyclocheilichthys lagleri",162.7,12,12,
"15. Boeng Romlech",2015,8,52,17,"Trichogaster microlepis",216.2,12,12,
"15. Boeng Romlech",2015,8,59,19,"Notopterus notopterus",150.4,12,12,
"15. Boeng Romlech",2015,8,78,29,"Oxyeleotris marmorata",17.4,12,12,
"15. Boeng Romlech",2015,8,107,38,"Oxygaster pointoni",10.2,12,12,
"15. Boeng Romlech",2015,8,110,24,"Ompok hypophthalmus/urbaini",46.9,12,12,
"15. Boeng Romlech",2015,11,1,1,"Mystus albolineatus",13.4,13,13,8
"15. Boeng Romlech",2015,11,24,9,"Esomus metallicus",120.1,13,13,8
"15. Boeng Romlech",2015,11,27,9,"Amblypharyngodon chulabhornae",21.4,13,13,8
"15. Boeng Romlech",2015,11,38,12,"Anabas testudineus",232.5,13,13,8
"15. Boeng Romlech",2015,11,41,13,"Clarias macrocephalus",68.90000000000001,13,13,8
"15. Boeng Romlech",2015,11,43,14,"Channa striata",238.8,13,13,8
"15. Boeng Romlech",2015,11,52,17,"Trichogaster microlepis",1066.2,13,13,8
"15. Boeng Romlech",2015,11,59,19,"Notopterus notopterus",746.9000000000001,13,13,8
"15. Boeng Romlech",2015,11,68,25,"Macrognathus siamensis",61,13,13,8
"15. Boeng Romlech",2015,11,76,28,"Monopterus albus",948.5,13,13,8
"15. Boeng Romlech",2015,11,78,29,"Oxyeleotris marmorata",79.2,13,13,8
"16. Boeng Thea",2012,11,3,1,"Mystus multiradiatus",13,1,1,1
"16. Boeng Thea",2012,11,6,1,"Mystus gulio",370,1,1,1
"16. Boeng Thea",2012,11,8,2,"Hemibagrus spilopterus/nemurus",24,1,1,1
"16. Boeng Thea",2012,11,9,3,"Anematichthys/Cyclocheilichthys apogon",151,1,1,1
"16. Boeng Thea",2012,11,11,3,"Anematichthys/Cyclocheilichthys armatus",11,1,1,1
"16. Boeng Thea",2012,11,12,3,"Cyclocheilichthys lagleri",1212,1,1,1
"16. Boeng Thea",2012,11,16,5,"Puntius brevis",310,1,1,1
"16. Boeng Thea",2012,11,21,6,"Labiobarbus leptocheilus",41,1,1,1
"16. Boeng Thea",2012,11,22,8,"Henicorhynchus siamensis",24,1,1,1
"16. Boeng Thea",2012,11,25,9,"Esomus longimanus",13,1,1,1
"16. Boeng Thea",2012,11,27,9,"Amblypharyngodon chulabhornae",0,1,1,1
"16. Boeng Thea",2012,11,29,9,"Rasbora aurotaenia",151,1,1,1
"16. Boeng Thea",2012,11,34,9,"Rasbora paviana",0,1,1,1
"16. Boeng Thea",2012,11,43,14,"Channa striata",0,1,1,1
"16. Boeng Thea",2012,11,44,15,"Datnioides undecimradiatus",0,1,1,1
"16. Boeng Thea",2012,11,47,15,"Pristolepis fasciata",56,1,1,1
"16. Boeng Thea",2012,11,48,16,"Parambassis apogonoides",743,1,1,1
"16. Boeng Thea",2012,11,50,16,"Parambassis siamensis",2052,1,1,1
"16. Boeng Thea",2012,11,52,17,"Trichogaster microlepis",8,1,1,1
"16. Boeng Thea",2012,11,53,17,"Trichopodus trichopterus",10,1,1,1
"16. Boeng Thea",2012,11,63,21,"Xenentodon cancila",157,1,1,1
