hhid,year,hhsize,depshare,maxeduc,index1,index2,buff,chicken,cow,duck,pig,incwage,incfish,incfarm,incskill,land,flood,floodmonths
28,2015,8,.125,7,1.7312807,-1.5884862,0,1,1,0,1,0,0,1,0,12.14,10,1.3333334
29,2012,4,.25,7,.56823194,-.91531157,0,1,0,1,0,0,0,0,1,.22,.16,.33333334
29,2015,5,.2,7,.96193039,-2.3774731,0,0,0,0,0,1,0,0,0,0,0,0
30,2012,4,.25,5,-.58474231,-.65232533,0,1,0,0,0,0,0,1,0,4.2399998,3,.66666669
30,2015,5,.2,5,-.20111838,-.4160302,0,0,0,0,0,0,0,1,0,4.2399998,3,.33333334
31,2012,4,.25,5,-1.3540927,-.66081929,0,1,0,0,0,0,0,1,0,2.0012,1,1
31,2015,4,.25,5,-.19104391,-.56380224,0,1,0,0,1,0,0,1,0,2.1600001,2,.66666669
32,2012,6,.16666667,10,-.58474231,.74526405,0,1,0,1,0,0,0,1,0,3.0899999,2,1
32,2015,6,.16666667,10,-.19104391,-.16948532,0,1,1,0,0,1,0,0,0,4.1000004,4,1
33,2012,4,.25,3,-1.5620027,-2.3105156,0,1,0,1,0,0,0,1,0,.029999999,0,0
33,2015,5,.2,3,-1.3540927,-1.9549718,0,1,0,0,0,1,0,0,0,.026000001,0,0
34,2012,4,.25,4,-1.3540927,1.0657449,0,1,1,1,1,0,0,1,0,.31999999,0,0
34,2015,4,.25,7,-.58474231,-.49439803,0,1,1,0,0,0,0,1,0,.029999999,0,0
35,2012,2,0,3,-1.6285887,-1.6004229,0,0,0,0,0,1,0,0,0,0,0,0
35,2015,5,.2,3,-1.3540927,-2.0627141,0,0,0,0,0,1,0,0,0,0,0,0
36,2012,5,.2,12,-.20111838,.0012946898,0,1,0,1,0,0,0,1,0,2.03,2,.66666669
37,2012,4,.25,3,-.20111838,-1.8048898,0,1,0,1,1,0,0,1,0,.84500003,.40000001,1
37,2015,4,.25,4,-.20111838,-2.7366462,0,0,0,0,0,1,0,0,0,2.5,2.5,1.3333334
38,2012,7,.14285715,5,-1.3540927,-.69382036,0,0,0,0,0,0,0,0,0,0,0,0
38,2015,8,.125,5,-1.3540927,-3.0096605,0,0,0,0,0,1,0,0,0,.23,0,0
39,2012,7,.14285715,5,-.58474231,-.1404285,0,1,0,0,0,0,0,1,0,.16,0,0
39,2015,6,.16666667,5,1.7312807,-2.5028055,0,0,0,0,0,1,0,0,0,0,0,0
40,2012,8,.125,10,-.20111838,3.1171255,0,1,1,1,0,0,0,1,0,7.2399998,7,.66666669
40,2015,9,.11111111,9,-.20111838,.48640147,0,1,1,1,0,0,0,1,0,3.1199999,3,1
41,2012,6,.16666667,10,-1.6285887,-1.0684383,0,1,0,0,0,0,0,1,0,1.705,1.6,.66666669
41,2015,7,.14285715,4,-1.4206787,-2.7366462,0,1,0,0,0,1,0,0,0,1.6,1.6,1.6666666
42,2012,4,.25,2,-1.3540927,-.4071421,0,1,0,1,0,0,0,0,1,.026000001,0,0
42,2015,3,.33333334,4,-1.3540927,-2.6420586,0,1,0,0,0,1,0,0,0,0,0,0
43,2012,7,.14285715,8,-1.3540927,-.82096064,0,1,0,1,0,0,0,1,0,2,2,.66666669
43,2015,8,.125,10,-.20111838,-1.9529085,0,1,0,1,0,0,0,1,0,3,3,1
44,2012,11,.090909094,6,-.58474231,-1.132643,0,1,0,1,0,0,0,1,0,.031500001,0,0
44,2015,9,.11111111,6,.56823194,-2.2689648,0,0,0,0,0,1,0,0,0,0,0,0
