"","cfrid","hhid"
"399",14,616
"400",14,619
"401",14,620
"402",14,621
"403",14,624
"404",11,625
"405",11,629
"406",11,630
"407",11,631
"408",11,632
"409",11,633
"410",11,634
"411",11,636
"412",11,637
"413",11,638
