"","scode_biom","sname_biom","scode","scode_ccm","sname_ccm","sname_traits"
"34",12,"Cyclocheilichthys lagleri",12,12,"Cyclocheilichthys lagleri","Cyclocheilichthys lagleri"
"35",NA,NA,114,114,"Cyprinus carpio carpio","Cyprinus carpio"
"36",26,"Danio albolineatus",26,26,"Danio albolineatus","Danio albolineatus"
"37",44,"Datnioides undecimradiatus",44,44,"Datnioides undecimradiatus","Datnioides undecimradiatus"
"38",133,"Tetraodon fluviatilis",133,133,"Tetraodon fluviatilis","Dichotomyctere fluviatilis"
"39",132,"Tetraodon biocellatus",132,132,"Tetraodon biocellatus","Dichotomyctere ocellatus"
"40",148,"Doryichthys boaja",148,148,"Doryichthys boaja","Doryichthys boaja"
"41",25,"Esomus longimanus",25,25,"Esomus longimanus","Esomus longimanus"
"42",24,"Esomus metallicus",24,24,"Esomus metallicus","Esomus metallicus"
"43",79,"Hampala macrolepidota",79,79,"Hampala macrolepidota","Hampala macrolepidota"
"44",8,"Hemibagrus spilopterus/nemurus",8,8,"Hemibagrus spilopterus/nemurus","Hemibagrus nemurus"
"45",151,"Hemibagrus wyckii",151,151,"Hemibagrus wyckii","Hemibagrus wyckii"
"46",23,"Henicorhynchus lobatus",23,23,"Henicorhynchus lobatus","Henicorhynchus entmema"
"47",22,"Henicorhynchus siamensis",22,22,"Henicorhynchus siamensis","Henicorhynchus siamensis"
"48",113,"Hypophthalmichthys molitrix",113,113,"Hypophthalmichthys molitrix","Hypophthalmichthys molitrix"
"49",13,"Hypsibarbus lagleri",13,13,"Hypsibarbus lagleri","Hypsibarbus lagleri"
"50",14,"Hypsibarbus malcolmi",14,14,"Hypsibarbus malcolmi","Hypsibarbus malcolmi"
"51",100,"Hypsibarbus vernayi",100,100,"Hypsibarbus vernayi","Hypsibarbus vernayi"
"52",150,"Hypsibarbus wetmorei",150,150,"Hypsibarbus wetmorei","Hypsibarbus wetmorei"
"53",66,"Kryptopterus cheveyi",66,66,"Kryptopterus cheveyi","Kryptopterus cheveyi"
"54",65,"Kryptopterus dissitus",65,65,"Kryptopterus dissitus","Kryptopterus dissitus"
"55",104,"Labeo chrysophekadion",104,104,"Labeo chrysophekadion","Labeo chrysophekadion"
"56",21,"Labiobarbus leptocheilus",21,21,"Labiobarbus leptocheilus","Labiobarbus leptocheilus"
"57",20,"Labiobarbus siamensis",20,20,"Labiobarbus siamensis","Labiobarbus siamensis"
"58",169,"Leptobarbus hoeveni",169,169,"Leptobarbus hoeveni","Leptobarbus hoevenii"
"59",55,"Lobocheilos melanotaenia",55,55,"Lobocheilos melanotaenia","Lobocheilos melanotaenia"
"60",54,"Lobocheilos rhabdoura",54,54,"Lobocheilos rhabdoura","Lobocheilos rhabdoura"
"61",109,"Luciosoma bleekeri",109,109,"Luciosoma bleekeri","Luciosoma bleekeri"
"62",69,"Macrognathus semiocellatus",69,69,"Macrognathus semiocellatus","Macrognathus semiocellatus"
"63",68,"Macrognathus siamensis",68,68,"Macrognathus siamensis","Macrognathus siamensis"
"64",70,"Mastacembelus armatus",70,70,"Mastacembelus armatus","Mastacembelus armatus"
"65",71,"Mastacembelus favus",71,71,"Mastacembelus favus","Mastacembelus favus"
"66",64,"Micronema hexapterus",64,64,"Micronema hexapterus","Micronema hexapterus"
"67",76,"Monopterus albus",76,76,"Monopterus albus","Monopterus albus"
"68",1,"Mystus albolineatus",1,1,"Mystus albolineatus","Mystus albolineatus"
"69",5,"Mystus atrifasciatus",5,5,"Mystus atrifasciatus","Mystus atrifasciatus"
"70",7,"Mystus bocourti",7,7,"Mystus bocourti","Mystus bocourti"
"71",6,"Mystus gulio",6,6,"Mystus gulio","Mystus gulio"
"72",3,"Mystus multiradiatus",3,3,"Mystus multiradiatus","Mystus multiradiatus"
"73",4,"Mystus mysticetus",4,4,"Mystus mysticetus","Mystus mysticetus"
"74",2,"Mystus singaringan",2,2,"Mystus singaringan","Mystus singaringan"
"75",140,"Mystus wolffi",140,140,"Mystus wolffi","Mystus wolffii"
"76",45,"Nandus nandus",45,45,"Nandus nandus","Nandus nandus"
"77",46,"Nandus oxyrhynchus",46,46,"Nandus oxyrhynchus","Nandus oxyrhynchus"
"78",59,"Notopterus notopterus",59,59,"Notopterus notopterus","Notopterus notopterus"
"79",67,"Ompok bimaculatus/Hemisilurus mekongensis",67,67,"Ompok bimaculatus/Hemisilurus mekongensis","Ompok bimaculatus"
"80",110,"Ompok hypophthalmus/urbaini",110,110,"Ompok hypophthalmus/urbaini","Ompok hypophthalmus"
"81",NA,NA,77,NA,NA,"Ophisternon bengalense"
"82",112,"Oreochromis niloticus",112,112,"Oreochromis niloticus","Oreochromis niloticus"
"83",105,"Osteochilus melanopleurus",105,105,"Osteochilus melanopleurus","Osteochilus melanopleurus"
"84",147,"Osteochilus microcephalus",147,147,"Osteochilus microcephalus","Osteochilus microcephalus"
"85",102,"Osteochilus vittatus/lini/hasselti",102,102,"Osteochilus vittatus/lini/hasselti","Osteochilus vittatus"
"86",146,"Osteochilus waandersii",146,146,"Osteochilus waandersii","Osteochilus waandersii"
"87",78,"Oxyeleotris marmorata",78,78,"Oxyeleotris marmorata","Oxyeleotris marmorata"
"88",107,"Oxygaster pointoni",107,107,"Oxygaster pointoni","Oxygaster pointoni"
"89",86,"Pangasianodon hypophthalmus",86,86,"Pangasianodon hypophthalmus","Pangasianodon hypophthalmus"
"90",NA,NA,80,80,"Pangio fusca","Pangio fusca"
"91",131,"Tetraodon cambodgiensis",131,131,"Tetraodon cambodgiensis","Pao cambodgiensis"
"92",137,"Monotrete cochinchinensis",137,137,"Monotrete cochinchinensis","Pao cochinchinensis"
"93",108,"Paralaubuca typus",108,108,"Paralaubuca typus","Paralaubuca typus"
"94",48,"Parambassis apogonoides",48,48,"Parambassis apogonoides","Parambassis apogonoides"
"95",50,"Parambassis siamensis",50,50,"Parambassis siamensis","Parambassis siamensis"
"96",49,"Parambassis wolffii",49,49,"Parambassis wolffii","Parambassis wolffii"
"97",134,"Phalacronotus bleekeri",134,134,"Phalacronotus bleekeri","Phalacronotus bleekeri"
"98",101,"Poropuntius normani",101,101,"Poropuntius normani","Poropuntius normani"
"99",47,"Pristolepis fasciata",47,47,"Pristolepis fasciata","Pristolepis fasciata"
"100",139,"Leiocassis/Pseudomystus siamensis",139,139,"Leiocassis/Pseudomystus siamensis","Pseudomystus siamensis"
"101",103,"Systomus partipentazona",103,103,"Systomus partipentazona","Puntigrus partipentazona"
"102",39,"Puntioplites falcifer",39,39,"Puntioplites falcifer","Puntioplites falcifer"
"103",37,"Puntioplites proctozystron",37,37,"Puntioplites proctozystron","Puntioplites proctozystron"
"104",16,"Puntius brevis",16,16,"Puntius brevis","Puntius brevis"
"105",17,"Puntius sp. (cf. masyai)",17,17,"Puntius sp. (cf. masyai)","Puntius spp"
"106",29,"Rasbora aurotaenia",29,29,"Rasbora aurotaenia","Rasbora aurotaenia"
"107",32,"Rasbora borapetensis",32,32,"Rasbora borapetensis","Rasbora borapetensis"
"108",138,"Rasbora caudimaculata",138,138,"Rasbora caudimaculata","Rasbora caudimaculata"
"109",28,"Rasbora daniconius",28,28,"Rasbora daniconius","Rasbora daniconius"
"110",34,"Rasbora paviana",34,34,"Rasbora paviana","Rasbora paviana"
"111",31,"Rasbora myersi/dusonensis",31,31,"Rasbora myersi/dusonensis","Rasbora spp"
"112",33,"Rasbora tornieri",33,33,"Rasbora tornieri","Rasbora tornieri"
"113",83,"Syncrossus beauforti",83,83,"Syncrossus beauforti","Syncrossus beauforti"
"114",84,"Syncrossus helodes",84,84,"Syncrossus helodes","Syncrossus helodes"
"115",99,"Puntius orphoides",99,99,"Puntius orphoides","Systomus orphoides"
