"","hhid","h_catch","d1_catch","d2_catch","h_cons","d1_cons","d2_cons","h_sold","d1_sold","d2_sold"
"1",1,2.18400999920847,0.82336434754998,5.66137122449249,2.21827673027955,0.826200735201627,5.75376427029258,0,1,Inf
"2",2,2.2829904781025,0.86616525453041,7.47190123529783,2.41753427882076,0.885013871780906,8.69670120638037,0,0,1
"3",4,1.61228769340948,0.696761895804897,3.29773859605916,1.53147733271828,0.734425618010922,3.7654234286842,0,1,Inf
"4",5,2.76078915707799,0.917611954352987,12.137683229973,2.59375722920504,0.899699655426505,9.97005547939319,0.562335144618808,0.375,1.6
"5",7,2.74161413855682,0.897769662409347,9.7818321211475,2.63643030212043,0.875210919737906,8.01352167913817,1.3687143470699,0.717611561064281,3.54122145994664
"6",8,1.93573014066019,0.7021421151943,3.35730578578547,2.03474041881501,0.765259970719019,4.26003184485851,0.871781482467982,0.401384083044983,1.67052023121387
"7",9,1.43765293204791,0.534454148038962,2.1480161315747,1.57023953628969,0.607949247509268,2.55069016867565,0.503446359573305,0.200874574221862,1.251368017763
"8",10,2.62595804033153,0.91238001133476,11.4129209011951,2.61462236064239,0.904584863628047,10.4805174317599,0,1,Inf
"9",12,1.99904743735404,0.820624799919681,5.57490667356596,1.9299204686967,0.809779913257868,5.25706836289919,0.686961576597323,0.493827160493827,1.97560975609756
"10",13,2.13353332144241,0.871702556926763,7.79438760466304,2.04722453175894,0.855360338716385,6.91373300466434,0,1,Inf
"11",14,1.83238727242965,0.808957023222813,5.23442430006887,1.93017324731915,0.82528866224704,5.72372699368825,0.693147180559943,0.499999999999998,1.99999999999999
"12",16,1.83426729800239,0.800996797087529,5.02504474985679,1.67219138165388,0.779195010915398,4.52888317490348,0,1,Inf
"13",19,2.38246248500997,0.896739620674189,9.68425650311393,2.35556470771847,0.890678224355138,9.14730843055972,2.0757295971016,0.847050754689961,6.53811660183696
"14",20,2.66802686432196,0.907091152137978,10.7632375496151,2.74633832981121,0.919400801545471,12.4070712758286,0,0,1
"15",21,2.13920498146601,0.85277463603847,6.7923078815502,1.85835790403265,0.818215533522898,5.50102007822523,0,1,Inf
"16",22,1.71098541111065,0.720273329982969,3.57491832987936,2.08510038617809,0.819397305869953,5.53701596101288,0.517492737922178,0.262688614540466,1.35627906976744
"17",23,2.25908378545726,0.859777471222799,7.13152165148081,2.38176183835996,0.884299032572015,8.64297008253128,0,1,Inf
"18",24,2.67983718239464,0.90540417809612,10.5712914151337,2.76047545935218,0.920850127232329,12.6342590964777,1.45282170719788,0.662808642856224,2.96567506495609
"19",25,2.34657938235125,0.868295249206202,7.59274053496852,2.47237029159,0.895307226391487,9.55175763839618,0,0,1
"20",26,2.70333959705698,0.908352973155582,10.9114287111313,2.73652406716377,0.911301446618004,11.2741410301623,0,1,Inf
"21",28,2.20988038953866,0.84132144697534,6.30204889658017,2.25957669299378,0.863471174878033,7.32446059728894,0,1,Inf
"22",30,2.51744750524794,0.8939294481237,9.42768734875823,2.43577798016273,0.898124286065991,9.81588213112065,0,1,Inf
"23",31,2.41537185603579,0.892711592354006,9.3206714680637,2.31866018870034,0.863451040460906,7.32338059092788,0.636514168294813,0.444444444444444,1.8
"24",33,1.52218304628559,0.685449394759318,3.17913869291346,1.80807450808177,0.784444625145019,4.63917914676342,0,1,Inf
"25",34,2.18413583595182,0.7932595544163,4.83698289987066,1.88653559636086,0.755551457422347,4.09084050759818,1.22968082462816,0.666740110183933,3.00066113732415
"26",37,1.79441360659536,0.78555656780456,4.66323444724862,1.85441054253759,0.806941218299006,5.17976955613852,0,1,Inf
"27",38,2.03051324548797,0.841504726539558,6.3093364121649,1.99019630031791,0.824320161016689,5.69217279448323,0.982459158603741,0.600727507815846,2.50455520872391
"28",39,1.21457251621393,0.656166717350312,2.90838627457378,1.16831005623147,0.655100729900207,2.89939726375953,0,1,Inf
"29",40,1.64832982283458,0.731055558329684,3.7182400714042,1.75067846116698,0.780654588158934,4.55901945523521,1.20741956716763,0.646344041440297,2.82760681899039
"30",41,1.816848693464,0.796290401993925,4.90894886538521,1.93845529676904,0.811122241118887,5.29442961375583,1.18179233048213,0.666776838297783,3.00099187250868
"31",43,0.90226310414155,0.460323757740116,1.85296279823718,1.06339848344921,0.522216492246953,2.09299815454675,0,0,1
"32",44,1.88867752507902,0.807309419984288,5.18966728896898,1.88907486641433,0.838996508439173,6.21104542706266,0,1,Inf
"33",45,2.04998283408928,0.835204082269679,6.06811147856492,1.86500956083002,0.820764244846293,5.57924393568923,0,1,Inf
"34",46,1.64594310403886,0.736242972304413,3.79136817220332,1.60792574544851,0.722679044576988,3.60593017024137,0,1,Inf
"35",47,1.49927851149565,0.698910795031103,3.32127483648343,1.59173115690298,0.7445515162738,3.91468363958597,0,0,1
"36",48,1.47964642356846,0.72307213723858,3.6110487042668,1.43568247266699,0.701155689417401,3.3462239854943,0,1,Inf
"37",49,1.6982685471156,0.686810693010287,3.19295703168067,1.92770626198827,0.796287979379979,4.90889048646409,0.68305697809639,0.357228742231029,1.55576340403109
"38",50,0.702453456213474,0.298282843324097,1.42507560273585,1.58020688155517,0.694112939350482,3.26918045463123,0.347320666405693,0.159503271861987,1.18977262673626
"39",51,1.79022751264266,0.763056735053032,4.22041960223607,1.95095301381282,0.797118191453912,4.92897814331557,1.21878555948375,0.672103133787105,3.04973942431864
"40",53,1.88047240748355,0.832336830427385,5.96433911245427,1.82236379837468,0.811282639883646,5.2989295705676,0,0,1
"41",54,0.856840995039472,0.505,2.02020202020202,0.787217517019764,0.449519422643178,1.81659451964969,0,1,Inf
"42",55,0.828617662125151,0.346905855875117,1.53117281634787,1.95629302662041,0.799805729941718,4.99514796157188,0.41326108500554,0.178074358194578,1.21665507089355
"43",56,1.33887873855979,0.584276822071745,2.40544682878514,1.96577283292118,0.791183156309562,4.78888571595527,0.542750508064952,0.357309567570801,1.55595905826739
"44",58,2.20135972901565,0.871772111211423,7.7986154918982,2.175455467592,0.861578159379347,7.22429347504857,1.52709462431989,0.772696672509289,4.39940765953313
"45",61,1.95758834401386,0.79416594726724,4.85828261516246,2.02890138923012,0.820539423880684,5.57225448409984,0.864310770566369,0.461942421499683,1.85853715282148
