"","hhid","rda_hh_catch","minbio_hh_catch_all","rda_hh_cons","minbio_hh_cons_all","rda_hh_sold","minbio_hh_sold_all"
"122",181,4,176.289931061478,3,191.709176154789,2,192.290638258083
"123",182,3,187.131665039701,3,200.426446536424,0,Inf
"124",183,5,151.243211915522,5,147.318932519036,4,556.095784073257
"125",184,2,211.49153944047,2,188.107397478537,2,465.991499363094
"126",185,4,189.891994047549,4,180.492019602249,4,223.193274153053
"127",188,3,220.463283788774,3,220.823609560263,0,Inf
"128",190,4,171.540472521783,4,172.605714105428,0,Inf
"129",192,4,152.844213954569,4,150.301370298589,3,189.381673671194
"130",193,5,184.661799706897,5,173.9437228064,0,Inf
"131",194,5,125.580392676901,5,111.235607668808,0,Inf
"132",195,5,139.776709335924,5,142.757898937914,3,205.264488146749
"133",196,5,209.265420656076,4,199.316272687975,3,245.140990241793
"134",197,5,153.368722084877,5,150.638965161078,0,Inf
"135",199,5,159.752698976406,5,175.016361588225,4,487.526263329274
"136",202,5,151.553808077239,5,146.952808613034,4,181.158723949146
"137",203,5,157.429614640062,5,159.063954707906,5,390.365772729047
"138",205,5,124.765065385276,5,157.910027444625,5,130.461073757041
"139",207,5,135.294885415867,5,123.068484707331,6,164.748705954242
"140",209,4,168.742037912201,4,174.53920540956,0,Inf
"141",210,5,165.28520170105,5,180.256358309418,3,153.83621047543
"142",211,4,161.90000937865,4,166.067804912715,5,231.64461050913
"143",214,4,156.42207130028,4,169.247654828561,3,181.351901246684
"144",215,4,173.879849860206,4,187.0802059625,0,Inf
"145",216,5,188.69694826121,5,199.680152663558,4,442.49493198748
"146",217,4,152.553431970143,4,151.127083386347,5,154.48266093788
"147",219,4,214.613814678674,4,202.556293259638,3,227.031796186402
"148",221,5,135.175374493552,4,161.310343962949,6,118.082207111801
"149",222,4,194.199172631043,4,197.784074190372,3,283.640808697826
"150",225,4,171.178801916413,3,167.059539777646,3,190.075422054772
"151",226,3,163.823099606708,3,156.090260384024,4,200.490452517876
"152",229,4,195.117727766297,4,198.528390304322,0,Inf
"153",230,4,166.889035067989,4,199.092601913835,3,229.34217461849
"154",231,4,147.374944059016,4,131.820706633228,3,174.451358295307
"155",232,3,158.126762392215,3,154.647987656383,3,185.977207898126
"156",233,4,183.563195727153,4,159.984976969032,3,165.267875511482
"157",236,4,178.103007773861,4,158.296326366355,4,201.479242488889
"158",237,4,163.584806634173,5,160.834076553792,4,250.502695869358
"159",238,4,175.032361811708,4,208.184283811801,3,165.741245460529
"160",241,4,177.455375243097,4,175.633136562018,0,Inf
"161",244,4,201.94563367182,4,187.966938721352,4,280.03505623699
"162",246,3,226.410815532989,3,211.425283683333,0,Inf
"163",247,4,183.414127468264,4,188.404351968505,0,Inf
"164",248,4,169.825502409442,3,166.817658413961,0,Inf
"165",249,4,189.539968740342,3,149.868923433203,5,242.320908053388
"166",251,2,318.452434644249,2,282.262937780561,0,Inf
"167",252,3,184.917875228946,3,179.213128922803,0,Inf
"168",253,5,113.75262727313,5,120.570394798259,6,96.1415807693145
"169",254,4,187.101600303586,3,173.214618020375,3,172.755226292273
"170",257,4,166.707980124027,2,188.664971951711,3,201.845221600349
"171",258,3,205.687770830707,3,225.564717594913,4,203.740675425708
"172",259,3,200.367974214052,4,183.58671377748,2,314.138997104931
"173",260,3,246.33226838452,3,231.284359561114,2,283.556360790068
"174",262,3,206.221129915895,3,199.221045371418,1,649.079597504054
"175",265,2,206.005221571603,4,174.625998848447,2,251.809208370043
"176",267,4,161.46260040649,4,167.520862945997,0,Inf
"177",269,3,206.366006950159,3,200.929982046637,2,345.91871562451
"178",271,3,190.430260366159,3,188.132814466891,3,222.090617083707
"179",272,4,172.542977799846,4,176.8890110859,3,254.50451610828
"180",275,5,182.601744019027,6,173.266542872277,4,213.989667973505
"181",276,5,143.844326531649,5,148.258183510115,5,100
"182",278,5,138.631112961095,5,158.777849693797,0,Inf
"183",279,5,181.611635803826,5,181.79134142139,4,195.691775123108
"184",280,5,176.240368642619,5,176.114831477743,0,Inf
"185",282,3,275.36179781637,3,266.570514734009,0,Inf
"186",283,5,151.309086742791,5,164.611808644987,0,Inf
"187",284,5,169.05252105086,5,161.666800775133,0,Inf
"188",285,5,146.896080876932,5,150.501295499987,0,Inf
"189",288,5,176.826745368356,5,189.5425297752,0,Inf
"190",289,5,160.542658533345,5,159.818210145973,0,Inf
"191",290,5,164.336217784669,5,151.846218162183,3,253.968200015173
"192",291,5,157.110348754676,5,160.726221805633,0,Inf
"193",292,4,192.548505669755,4,199.435078003563,2,252.51313968313
"194",293,5,153.36379336605,5,162.484035700317,0,Inf
"195",297,6,126.391594006923,5,169.363154453205,0,Inf
"196",300,5,180.848516089131,5,159.418562989399,3,201.932586615157
"197",301,5,140.075736249658,5,141.047470038487,0,Inf
"198",303,4,182.57299384276,4,178.080331454651,2,958.523482809675
"199",304,5,151.505522354818,3,223.75866393237,5,148.745168432509
"200",305,5,151.706729719909,5,155.514467532631,3,330.071129191752
"201",306,5,165.66879070035,5,166.349092843943,2,829.67032967033
"202",310,5,169.657450827088,5,173.169281372541,0,Inf
"203",311,5,191.384106249712,5,194.612329170209,0,Inf
"204",312,5,179.584883781899,5,182.306351569623,0,Inf
"205",313,5,177.951966892337,5,179.98013374825,3,248.289192984436
"206",316,5,153.428118678199,5,156.149495096775,0,Inf
"207",318,5,144.959247036331,5,170.967092188215,4,243.390569935043
"208",319,5,167.931146855134,5,161.651501570439,3,301.671031037616
"209",320,5,152.10401057932,5,157.034198758646,0,Inf
"210",321,5,167.335813545029,5,156.13349939253,4,179.47000704165
"211",322,4,178.701597196621,5,171.354244821027,2,209.049541875037
"212",323,3,201.215317040233,4,179.501595378914,5,177.862270247658
"213",324,5,175.899699651744,5,171.171097503748,0,Inf
"214",326,5,191.714365602802,5,194.927153207175,0,Inf
"215",329,5,152.480625269529,5,155.002889495145,2,305.101088590181
"216",333,5,167.123676071366,5,145.50347719511,5,163.839160709217
"217",334,5,189.340623249993,5,189.90799988659,3,205.458221762324
"218",335,5,168.405527554547,5,172.968136176643,5,164.21819662168
"219",336,5,146.24153936658,5,134.162992293515,5,144.956665190851
"220",337,2,221.001513627257,3,205.084377734694,2,234.586060517467
"221",338,5,176.400229451398,5,183.095676682884,5,210.532501321394
"222",339,2,535.973406168051,3,260.073425467067,0,Inf
"223",340,5,185.419021619276,5,187.509356477533,0,Inf
"224",342,3,237.6888101989,3,235.550359386237,4,229.561039070825
"225",344,4,289.121548364,4,229.258478510647,3,334.58946138058
"226",346,4,166.911956020671,4,162.597631794549,4,220.1246484692
"227",347,4,167.165359991773,4,167.032846992927,0,Inf
"228",348,4,172.991009487424,4,173.448122789914,0,Inf
"229",350,4,194.912591627261,4,208.838746205089,0,Inf
"230",351,3,206.294361050238,3,206.306489466892,0,Inf
"231",356,5,173.605762109704,5,177.990493986992,0,Inf
"232",357,4,168.076668809513,4,158.537054777274,0,Inf
"233",358,3,201.66503869374,3,199.97098891126,0,Inf
"234",359,3,189.800105039861,3,192.713773101084,0,Inf
"235",360,5,171.006633201173,5,171.006633424004,0,Inf
"236",361,5,162.68331984518,5,156.195600266665,0,Inf
"237",363,3,262.855209233186,3,200.413897391528,2,579.725548256796
"238",364,4,170.180483724623,4,166.658483095694,0,Inf
"239",365,4,223.04422508706,5,202.094533808057,0,Inf
"240",368,3,186.7746838604,3,186.589031675835,0,Inf
"241",370,3,188.888304330694,4,178.495306087109,0,Inf
"242",371,5,181.702439534918,5,181.96036057417,4,188.940205810485
"243",374,3,198.171715122998,3,219.573464846152,0,Inf
"244",375,5,150.478825786089,5,162.031117404928,0,Inf
"245",376,3,197.242608302771,3,190.872928487392,2,409.772847863594
"246",378,2,212.44108377919,2,212.441081475949,0,Inf
"247",379,5,159.435041423157,5,157.034678248009,4,219.958925829525
"248",380,3,319.306100260661,3,342.196171985162,0,Inf
"249",381,3,199.768446752295,5,153.238691981657,2,282.417218788391
"250",382,5,164.547680796725,4,190.89840729862,5,163.843469389167
"251",383,5,155.067104303324,5,155.309317300182,3,204.388140985929
"252",384,4,192.574074140852,5,179.839393976733,3,234.545617986444
"253",385,5,151.867389202486,5,138.658175102779,2,1045.52667218131
"254",386,5,157.261633129567,5,180.120870002597,4,151.684232338999
"255",388,5,160.548175097724,5,151.929114467301,2,980.289461930927
"256",389,4,208.331170360628,5,205.154692143419,0,Inf
"257",390,5,170.211315441496,5,166.106318906473,0,Inf
"258",393,4,211.273586869664,4,189.121773678133,3,250.811218099842
"259",394,5,223.211120977195,5,191.38055491843,0,Inf
"260",396,5,150.758548310312,5,165.878981146098,5,137.112386661561
"261",397,3,255.83095518636,3,227.703338822915,2,927.095521414566
"262",399,5,165.026516832257,5,165.425563521941,0,Inf
"263",400,3,196.487901363333,3,232.728387965288,4,214.840185527968
"264",401,5,168.998128489915,2,358.854057275599,0,Inf
"265",402,4,177.557436998053,4,175.57159352761,0,Inf
"266",403,3,232.503072635136,4,226.41179565569,0,Inf
"267",405,5,127.771208211998,5,127.543175703547,0,Inf
"268",408,5,157.930227979492,5,157.651124021283,5,193.795846347691
"269",409,4,222.132129303263,4,237.19487816046,3,222.835875598026
"270",412,2,306.773599076823,3,222.478352776298,2,421.366129653145
"271",413,5,159.830014274687,5,116.41093860945,4,193.584331594912
"272",414,4,202.580437055809,4,218.27226696177,3,179.818226912855
"273",415,3,212.221325664305,3,207.12450444747,2,364.590427595857
"274",418,4,177.359442259659,4,165.088254551734,2,310.363615849745
"275",419,2,433.524738811616,5,204.387179542732,2,537.222210318911
"276",420,2,245.677206661137,3,205.799510770059,2,318.176384215662
"277",423,2,415.299418866532,3,229.944596089101,2,736.132642942156
"278",424,5,182.741516693046,4,188.967528350679,0,Inf
"279",425,3,244.630470472007,3,184.450357901224,2,290.200536951113
"280",426,2,305.376298652051,2,305.376297850432,0,Inf
"281",427,3,374.361702718784,5,165.989274216884,2,542.218535254339
"282",429,2,300.339697322853,2,301.037372630887,2,303.607503249792
"283",430,3,240.673080931369,3,220.856287609876,2,297.303539534278
"284",432,2,245.317457125058,2,196.040001930376,2,301.331827073057
"285",435,3,236.316668523753,3,206.823046280514,0,Inf
"286",436,2,303.412876663178,3,243.895783702156,2,919.83222112829
"287",437,3,257.142217883456,3,206.830329515362,0,Inf
"288",438,3,248.504619101988,3,223.577234267205,0,Inf
"289",440,3,205.593198053549,4,164.207068991627,2,630.608831513193
"290",442,5,156.972613607568,4,190.168725222767,5,164.79297416832
"291",443,3,205.014462870651,3,209.753724022934,5,189.322243231247
"292",444,2,415.156014668749,2,323.068528657968,1,1589.1054827032
"293",445,4,182.378124939086,3,206.642716637917,0,Inf
"294",446,5,166.188319680236,5,159.762185131649,0,Inf
"295",449,5,181.141161492444,3,204.913250421355,2,829.67032967033
"296",451,5,172.316911309013,5,174.07915041919,2,240.656191916246
"297",452,5,165.020540397565,5,169.779730282299,4,192.828835996159
"298",453,5,173.357758831371,5,163.804236673484,3,180.335943042481
"299",454,5,161.347402265882,6,169.910803081599,4,210.788870542625
"300",458,5,159.371321232538,4,179.912916004086,4,270.423568999779
"301",460,5,175.229120084201,5,168.386705364392,0,Inf
"302",462,5,160.652960705875,5,175.057888670741,5,192.01448294821
"303",463,4,194.250532441137,3,300.145165903355,5,162.359188665976
"304",464,5,174.814238224883,5,159.506464658857,5,178.287004181117
"305",465,5,137.407832358568,5,137.577387828081,0,Inf
"306",466,5,165.614260699489,5,157.762397259467,0,Inf
"307",469,4,175.335841877131,4,165.238135889272,4,237.458976008712
"308",470,4,179.722819134929,5,162.462170822959,2,364.500004728585
"309",472,5,174.892081164323,5,165.180339854745,4,229.807800491902
"310",473,3,205.913836118971,3,198.027890696105,2,829.67032967033
"311",474,3,220.512165270725,4,197.28546382434,3,399.611585570182
"312",475,5,162.041608409922,5,162.097389056206,0,Inf
"313",478,4,203.784635253391,4,209.108621913988,5,200.494851795118
"314",480,5,144.118682045133,5,128.891944835687,3,219.799641348619
"315",482,3,245.864652078341,3,222.410831965906,2,319.130726511126
"316",484,5,165.118195894949,2,233.000346743424,0,Inf
"317",485,3,263.218428165647,3,261.791618489639,0,Inf
"318",486,4,175.549177175779,4,167.737971096754,0,Inf
"319",488,3,205.362032944754,3,193.763736587532,5,176.231104457904
"320",489,2,227.054050039,2,239.931067265045,2,425.698837324312
"321",491,3,220.313503769754,2,256.699937927016,2,375.676644689964
"322",493,5,147.426460558712,5,197.382354530553,5,129.334629448914
"323",494,5,147.293624040996,5,143.996695186745,3,294.09690765962
"324",495,4,165.422875198764,5,151.091014195181,3,209.473019076475
"325",497,3,204.428585448977,4,142.058559562553,3,218.125529494574
"326",498,5,149.609814160423,5,182.175467115538,5,111.111593911702
"327",500,2,189.178944047057,3,183.876127766146,0,Inf
"328",504,4,153.927669380839,4,182.193871715329,5,173.776919880833
"329",505,5,120.131247224251,5,159.897694755369,6,114.787277133148
"330",507,3,184.949802802531,4,169.238310060778,0,Inf
"331",508,5,130.925948980461,5,148.506779926774,5,131.628205686174
"332",510,6,158.205697198811,4,177.720397053836,6,136.222639952772
"333",511,4,161.210971407936,4,151.727153145245,3,231.305573461026
"334",514,3,256.598063463085,3,232.742227013873,0,Inf
"335",515,2,191.488824271932,4,192.827732414316,0,Inf
"336",516,3,206.002660918457,3,204.053167047573,3,204.701165524217
"337",519,2,397.811236957949,2,386.494181106187,2,829.67032967033
"338",520,3,177.991105917326,3,177.932866578867,0,Inf
"339",522,3,174.998643760511,3,174.998643760511,0,Inf
"340",523,2,204.236606276176,2,192.232680276361,0,Inf
"341",524,3,212.438207162882,2,252.775472300609,2,829.67032967033
"342",525,3,181.848471938226,3,197.97915432967,0,Inf
"343",526,4,175.795582449705,4,160.331919186983,4,174.174419818981
"344",529,4,153.583467054787,4,170.609144808382,5,204.017410470418
"345",530,5,182.741831474623,5,150.519861475761,5,210.239061291337
"346",531,4,198.019561065944,5,203.245868960831,0,Inf
"347",532,3,187.237763134797,5,187.519028998643,2,192.668197948639
"348",533,4,198.069873802855,4,182.0071342114,5,253.488024129073
"349",536,4,211.083980189757,5,212.522244472786,2,829.67032967033
"350",538,5,238.896850681287,5,214.760201780271,3,351.692364446277
"351",540,5,161.528277557677,5,144.55832350484,5,167.043449960254
"352",541,3,210.021713776098,3,235.314283833314,0,Inf
"353",543,5,133.603571121712,4,118.437661695862,6,151.918170943078
"354",545,4,192.453351958962,5,152.309889499368,2,312.40361691019
"355",546,5,169.811640636426,5,168.001938064087,0,Inf
"356",547,6,135.37691121381,6,115.293052613233,3,230.149479305076
"357",550,4,208.942666011647,6,159.705232695263,4,270.373393979924
"358",551,3,233.441723276946,4,203.611288686665,2,256.876536495232
"359",552,5,151.327202660836,5,169.439246795278,5,128.545975787203
"360",553,6,162.197054772034,6,157.72388957852,6,171.589068982539
"361",555,3,246.147432631984,3,257.434648614259,2,252.79108707769
"362",556,5,127.170295689589,5,132.849010956112,4,196.466593486689
"363",557,2,236.492646051045,3,207.18809572405,2,286.072659040602
"364",562,4,160.316907853496,4,168.458125087406,0,Inf
"365",563,3,208.025721015812,4,188.094037656618,2,351.346205662188
"366",564,3,217.764925775762,3,223.501844131231,2,245.829721745803
"367",565,3,190.390772470483,3,191.34995000387,0,Inf
"368",566,5,151.896175836679,4,193.895714573553,5,123.503657838031
"369",567,5,168.749543700537,4,201.06213770998,0,Inf
"370",570,3,195.308955425068,3,188.087477644048,3,214.844460055334
"371",573,3,243.904846815115,3,193.076163062643,2,251.845527284153
"372",574,5,183.964870728923,5,187.543054434579,4,205.37149151321
"373",576,2,215.749770000289,2,229.266800922505,2,333.343811655539
"374",577,4,185.910116368101,5,182.158995630696,3,199.463128919781
"375",578,4,287.930894569585,4,292.741192389192,0,Inf
"376",581,3,235.433487759667,3,210.717698952563,0,Inf
"377",582,4,184.967290984898,3,190.983556315658,0,Inf
"378",585,5,140.592930964303,5,135.710945607857,0,Inf
"379",586,5,150.66854332357,5,167.628978729258,0,Inf
"380",587,3,246.239764214399,3,241.849966999709,0,Inf
"381",589,5,152.402927748127,5,157.223126971555,5,100
"382",590,4,179.272975871049,5,156.496657963265,2,223.076114343839
"383",592,2,316.207018356975,3,230.835494522866,2,396.378623549409
"384",594,6,126.481942136393,6,133.118179217644,6,118.577754390578
"385",595,6,129.692274467369,5,122.033106397646,6,160.951814058844
"386",597,5,151.700114710194,5,150.436946265632,3,225.176158686045
"387",598,5,134.470260269892,5,134.490006817744,5,138.128543921766
"388",599,5,166.206495070365,5,169.781939947588,5,132.306209183584
"389",601,5,209.631185009058,4,192.558527817659,0,Inf
"390",602,6,147.409023692359,6,147.219843276242,6,148.603618889913
"391",604,2,266.706217532857,4,227.719031842142,2,335.534887609049
"392",605,5,103.547879372375,5,110.6587350112,6,97.2912310477242
"393",606,5,149.537718764196,5,123.482581461729,2,258.066842022585
"394",609,5,165.764145864222,5,165.873964293859,0,Inf
"395",610,5,173.643820167882,5,166.753408905824,2,363.017410541095
"396",611,5,136.353200244088,5,137.09782936681,0,Inf
"397",612,3,301.723724891889,3,344.039464777316,0,Inf
"398",613,5,160.544574852534,5,157.587729986871,0,Inf
"399",616,6,137.282191604918,5,139.579022054196,6,168.996288438885
"400",619,5,167.714883686753,5,167.186077364464,0,Inf
"401",620,5,134.000936222889,5,134.778815343343,0,Inf
"402",621,5,121.14317419693,5,123.435214582284,5,124.911195819859
"403",624,5,120.369389622715,5,115.228477010227,5,129.059829059829
"404",625,5,171.783088612491,5,138.1665981045,3,225.8530370034
"405",629,5,131.893570164141,6,116.720174083202,1,1293.55294810332
"406",630,5,124.54158643093,5,126.815703243714,0,Inf
"407",631,5,153.146098908653,5,161.075170568224,5,174.167967780299
"408",632,4,188.579358818805,5,173.79449230631,4,233.758086345857
"409",633,5,144.85459548619,5,148.482466198822,5,133.598751777232
"410",634,5,152.557592681569,5,144.143499458103,0,Inf
"411",636,5,125.355127974173,5,140.568152446717,5,160.439634096346
"412",637,5,142.253563891446,5,145.083305052286,2,217.223690529158
"413",638,5,113.999346939916,5,139.428013224769,0,Inf
