"","hhid","sold","catch","cons","cfr"
"136",319,3.01087832711871e-06,7.37315819899977e-08,1.48885537416784e-06,1.49156677121901e-07
"137",321,3.45748981608722e-05,2.68430428727583e-07,2.1033818488093e-06,7.57298688138652e-07
"138",322,1.5687086340343e-05,1.95031758125513e-07,1.7173208415532e-06,7.57298688138652e-07
"139",323,2.99619519823582e-06,2.84519338398568e-07,2.61594412241498e-06,7.57298688138652e-07
"140",329,1.71408786157432e-05,1.22008873183599e-07,2.33959656579056e-06,7.57298688138652e-07
"141",333,9.44547764569942e-06,1.68900212125802e-07,1.16289914393669e-06,7.57298688138652e-07
"142",334,2.46064334072341e-05,2.86656945616568e-07,2.05714848898172e-06,7.57298688138652e-07
"143",335,5.3654985428408e-06,1.34302169473148e-07,1.94821524021834e-06,7.57298688138652e-07
"144",336,4.21169190400291e-06,1.58183990728708e-07,1.78461710149734e-06,7.57298688138652e-07
"145",337,0.000118159230993008,3.80399537393456e-07,5.70064706048896e-06,9.76936879107228e-07
"146",338,1.44378934489906e-06,9.55616441469799e-08,1.48060402637263e-06,9.76936879107228e-07
"147",342,3.66578482499117e-06,1.30916861168398e-07,2.37332203954844e-06,9.76936879107228e-07
"148",344,6.93227799031329e-05,4.91967839349856e-07,3.26874064464338e-06,9.76936879107228e-07
"149",346,2.16421012354489e-06,9.17700230191084e-08,1.53310438703373e-06,9.76936879107228e-07
"150",363,3.48918195074628e-05,1.30369386735053e-07,9.99315718480553e-07,6.21443159203564e-07
"151",371,1.51117523681722e-06,6.06303522704768e-08,1.36548208594757e-06,9.25740689384533e-07
"152",376,3.92287466670659e-06,9.89921708630076e-08,1.92973949937991e-06,9.25740689384533e-07
"153",379,2.79688998127192e-06,9.16164515336326e-08,9.50650576426119e-07,9.25740689384533e-07
"154",381,2.08835583320065e-05,1.63487893587154e-07,1.42982457691106e-06,9.25740689384533e-07
"155",382,4.53345382439536e-05,5.53039215952747e-07,1.45793151838339e-06,9.25740689384533e-07
"156",383,8.35561924350881e-06,1.14433508914127e-07,1.22644592047861e-06,9.25740689384533e-07
"157",384,2.1056799135427e-05,9.46134634620222e-08,1.51504415548565e-06,9.25740689384533e-07
"158",385,2.16809206292365e-07,5.92245301266365e-08,1.08987385791793e-06,5.88279438308119e-07
"159",386,3.71509736422211e-06,5.12428557684651e-08,6.1991529132773e-07,5.88279438308119e-07
"160",388,1.77655580575601e-07,4.5322053335875e-08,1.1156801785324e-06,5.88279438308119e-07
"161",393,2.72863027108641e-05,1.50583618744504e-07,1.45218237341661e-06,5.88279438308119e-07
"162",394,1.59843717934379e-07,5.83322620082507e-08,1.03185243821816e-06,5.88279438308119e-07
"163",396,2.92866825270971e-06,5.73257720405543e-08,1.35932933269266e-06,5.88279438308119e-07
"164",397,1.29126347340587e-05,8.50887336276184e-08,1.80607103206349e-06,5.88279438308119e-07
"165",400,3.23990913632744e-05,9.59035967023221e-08,1.41829626093525e-06,5.88279438308119e-07
"166",408,7.8511819451884e-07,4.25942824916617e-08,8.18855582018764e-07,1.79829599840649e-07
"167",409,1.55533851260245e-05,1.51012340618792e-07,2.18826353377214e-06,1.79829599840649e-07
"168",412,4.54565733005416e-05,2.51702278430654e-07,2.90844785428916e-06,1.79829599840649e-07
"169",413,7.52189995257028e-05,1.93626970686807e-07,1.21379058752467e-06,1.79829599840649e-07
"170",414,7.10380924616429e-07,5.59279272197254e-08,1.17444632574091e-06,1.79829599840649e-07
"171",415,2.48653580339449e-05,8.83282869004397e-08,1.85100678548071e-06,1.79829599840649e-07
"172",418,3.47176041119756e-06,7.83196701044566e-08,1.76990868478703e-06,7.18262580377498e-07
"173",419,5.8839374309101e-05,3.026301929205e-07,7.12931289780045e-07,7.18262580377498e-07
"174",420,4.20106936019155e-05,1.24759142887089e-07,1.46382720363394e-06,7.18262580377498e-07
"175",423,0.000174899433510783,4.9287862643431e-07,2.2495684114733e-06,7.18262580377498e-07
"176",425,4.95934217984917e-05,3.31412203124039e-07,1.42251483973497e-06,7.18262580377498e-07
"177",427,0.000117244226989585,9.42186788977144e-07,2.44082553650973e-06,7.18262580377498e-07
"178",429,8.34686262411433e-06,1.16589909164229e-07,1.24650738374714e-06,7.18262580377498e-07
"179",430,6.60243896281245e-05,4.29017047146866e-07,2.27627279635573e-06,7.18262580377498e-07
"180",432,0.000130929017947091,4.08915691249801e-07,3.27872610547137e-06,7.18262580377498e-07
"181",436,3.82075562807885e-05,2.25102004209827e-07,5.99748631381539e-06,9.24682943203643e-07
"182",440,5.86696552781026e-07,2.35930034461026e-07,5.6271381847965e-06,9.24682943203643e-07
"183",442,9.67334188530197e-07,3.21586811650106e-08,6.06985525265942e-07,9.24682943203643e-07
"184",443,2.7193439723475e-05,1.11193911907195e-07,1.19469783318468e-06,9.24682943203643e-07
"185",444,8.90897113572616e-06,1.17133325121355e-07,3.42385522770799e-06,9.24682943203643e-07
"186",449,2.85849370546791e-05,1.13585765918386e-07,2.66980426946478e-06,1.94697453894257e-06
"187",451,8.41504712257638e-05,2.12894263003008e-07,1.43793645157613e-06,1.94697453894257e-06
"188",452,9.78847966763032e-07,4.14951711187381e-08,6.5783583502377e-07,1.94697453894257e-06
"189",453,0.000188693126754572,5.31818130181558e-07,1.54001274159579e-06,1.94697453894257e-06
"190",454,8.89190903164904e-07,6.18387263825528e-08,1.44193854484655e-06,1.94697453894257e-06
"191",458,1.49004504428916e-06,3.26963044413817e-08,6.0830615358591e-07,1.94697453894257e-06
"192",462,1.85097575461688e-05,2.12920858441997e-07,1.52665803184279e-06,1.94697453894257e-06
"193",463,2.26272729443321e-05,2.26221649197458e-07,3.186213575292e-06,1.94697453894257e-06
"194",464,2.20704966661913e-05,2.66276614310794e-07,1.00188386790065e-06,1.94697453894257e-06
"195",469,6.37200999718454e-06,8.79419942646134e-08,1.31286959906979e-06,5.10216963510814e-07
"196",470,2.28895545693064e-05,1.15794786105425e-07,1.29621227208631e-06,5.10216963510814e-07
"197",472,8.09005324096108e-06,1.75054842025781e-07,3.44044090328934e-06,5.10216963510814e-07
"198",473,1.31788198654003e-05,8.46050964418642e-08,2.34142740248595e-06,5.10216963510814e-07
"199",474,2.53010070477229e-05,1.19695865652502e-07,2.40774595315402e-06,5.10216963510814e-07
"200",478,7.99588371366061e-05,3.39094023926218e-07,2.79866029353376e-06,5.10216963510814e-07
"201",480,2.22976056869682e-05,1.44615802309503e-07,1.66446911054269e-06,5.10216963510814e-07
"202",482,8.65041635642893e-05,4.6617881328162e-07,3.23543139789341e-06,2.61286003100641e-06
"203",488,1.18007733046834e-05,1.47504211730285e-07,2.94717995915479e-06,2.61286003100641e-06
"204",489,1.3604314196632e-05,1.47848282315572e-07,2.79125227936991e-06,2.61286003100641e-06
"205",491,9.94691341267662e-05,7.28011606871458e-07,4.58941497411566e-06,2.61286003100641e-06
"206",493,4.82781834792737e-05,1.89993449407798e-07,1.2912324827253e-06,2.61286003100641e-06
"207",494,9.82849299569205e-06,2.5280717877489e-07,3.0426534884642e-06,2.61286003100641e-06
"208",495,5.05482193434226e-06,1.32217432699312e-07,1.41570656670338e-06,2.61286003100641e-06
"209",497,4.29202444982905e-05,4.35267291536341e-07,3.11930081396139e-06,4.00921716844843e-06
"210",498,3.71059863677076e-06,3.19852888920956e-08,5.60041956015684e-07,4.00921716844843e-06
"211",504,1.09755435204124e-05,6.51733222520654e-08,1.04903211792149e-06,4.00921716844843e-06
"212",505,1.78985751108569e-05,1.96851804115369e-07,3.5662322416024e-06,4.00921716844843e-06
"213",508,2.39388665225376e-05,8.27000943176073e-08,8.88345262942351e-07,4.00921716844843e-06
"214",510,6.70327075302005e-06,4.35425115430423e-08,5.9277838216927e-07,4.00921716844843e-06
"215",511,9.49392604762543e-06,1.38287644511682e-07,2.74441760705738e-06,4.00921716844843e-06
"216",516,0.000159149915547753,8.37402713270298e-07,6.48790020088589e-06,2.74290126540841e-05
"217",519,2.19646997756672e-05,3.07374541583607e-07,8.4737883498304e-06,2.74290126540841e-05
"218",524,8.34658580493005e-05,3.54075487127e-07,5.7853666488562e-06,2.74290126540841e-05
"219",526,9.97531164079321e-06,1.84129718664622e-07,2.76316479447531e-06,2.74290126540841e-05
"220",529,1.47187014556965e-06,5.47457222011907e-08,8.24912895261877e-07,2.15001119135261e-06
"221",530,8.28939530003065e-09,3.44958746732309e-08,9.09692015079053e-07,2.15001119135261e-06
"222",532,2.0812468585824e-05,1.37568389776266e-07,1.64925659150458e-06,2.15001119135261e-06
"223",533,6.8571263104284e-06,7.93025331921035e-08,1.19029169922203e-06,2.15001119135261e-06
"224",536,3.29470496635009e-05,1.95782181911929e-07,3.38823861104051e-06,2.15001119135261e-06
"225",538,1.06705122734247e-05,1.81205622550221e-07,4.11784518842541e-06,2.15001119135261e-06
"226",540,1.12780944130932e-06,5.51822040455328e-08,1.62537284836556e-06,2.15001119135261e-06
"227",543,2.57929654158345e-06,1.34218228110148e-07,4.12091044088097e-06,2.15001119135261e-06
"228",545,3.4867336408161e-05,2.52125277049528e-07,2.54456227437849e-06,8.89052136118317e-08
"229",547,4.70726570948724e-06,5.05745325229583e-08,8.54821051319748e-07,8.89052136118317e-08
"230",550,1.30828681053376e-05,1.41223601451597e-07,1.66435100910338e-06,8.89052136118317e-08
"231",551,1.36572469092534e-05,1.56662722399126e-07,1.87640043620229e-06,8.89052136118317e-08
"232",552,2.25905002204911e-05,2.35660698872731e-07,3.55618334906302e-06,8.89052136118317e-08
"233",553,7.30180633990447e-06,5.79123611892365e-08,9.8041536594427e-07,8.89052136118317e-08
"234",555,1.75024733116292e-05,1.13748326516238e-07,1.30275756889483e-06,8.89052136118317e-08
"235",556,4.71913767573209e-06,4.15203751209057e-08,6.82106438779518e-07,8.89052136118317e-08
"236",557,8.93029906178586e-06,1.05391765142045e-07,6.65485682865237e-07,8.89052136118317e-08
"237",563,2.97314319566352e-05,2.14420458171313e-07,2.74316784591788e-06,8.42658504966697e-07
"238",564,3.97712012381126e-05,4.45446913598852e-07,8.84207727153468e-06,8.42658504966697e-07
"239",566,7.13633413804969e-06,1.02282304659302e-07,2.5923949563741e-06,8.42658504966697e-07
"240",570,1.92324719961383e-05,2.33399464089784e-07,2.32022710478876e-06,8.42658504966697e-07
"241",573,9.62248198425879e-05,9.67114896620825e-07,3.32560585695414e-06,8.42658504966697e-07
"242",574,1.0126546928125e-05,1.28583016626959e-07,2.19155444615454e-06,8.42658504966697e-07
"243",576,7.36082446341755e-06,1.81973871958657e-07,4.67499173404603e-06,8.42658504966697e-07
"244",577,2.46732273226487e-05,2.49617115692297e-07,4.95124574552803e-06,1.57475539411026e-06
"245",589,5.14109544435528e-07,2.85693352300126e-08,7.5305623105391e-07,1.57475539411026e-06
"246",590,4.71123962452732e-05,4.83888846482013e-07,6.30288774644419e-06,1.57475539411026e-06
"247",592,3.59221233999427e-05,2.08528792113807e-07,1.97354804147388e-06,1.57475539411026e-06
"248",594,7.766943804186e-06,1.284704491418e-07,1.53661502982429e-06,3.92474061416034e-07
"249",595,1.49821472287091e-06,8.22764725729093e-08,1.89790891587379e-06,3.92474061416034e-07
"250",597,4.69056398282753e-06,1.00274412252223e-07,1.73345528467697e-06,3.92474061416034e-07
"251",598,8.45253954947799e-06,1.2689723110635e-07,1.66604794956295e-06,3.92474061416034e-07
"252",599,2.25219636129151e-06,2.32886961165288e-08,4.71769047370667e-07,3.92474061416034e-07
"253",602,1.89353668612462e-06,4.66024853312328e-08,9.27925734384749e-07,3.92474061416034e-07
"254",604,2.08405028692125e-05,2.11880368416261e-07,2.95572526258069e-06,3.92474061416034e-07
"255",605,1.19675415750139e-06,7.74289102473245e-08,1.97670786187503e-06,3.92474061416034e-07
"256",606,9.3509222512073e-06,1.22037941293161e-07,1.83434121245105e-06,3.92474061416034e-07
"257",610,1.22127096810839e-05,1.11570229139022e-07,2.48064816208195e-06,1.48734790567138e-07
"258",616,2.60627033627276e-06,7.80996666528613e-08,2.12788901758188e-06,1.48734790567138e-07
"259",621,2.84477444827507e-06,4.17355082053982e-08,1.13345809290915e-06,1.48734790567138e-07
"260",624,1.66163367174246e-06,4.59488221504519e-08,7.75441169850174e-07,1.48734790567138e-07
"261",625,4.70882021263193e-06,1.13654533313673e-07,2.02469821623211e-06,1.57227199742155e-07
"262",629,6.50959424288062e-07,2.94259374068718e-08,7.35701006699453e-07,1.57227199742155e-07
"263",631,7.829204710952e-06,4.10466248495103e-08,6.4508861890485e-07,1.57227199742155e-07
"264",632,2.36348530068704e-06,4.41408302829638e-08,8.60149321237656e-07,1.57227199742155e-07
"265",633,4.25442465142944e-06,5.0523690485772e-08,9.70222280466428e-07,1.57227199742155e-07
"266",636,7.23911830272522e-06,6.7688410527109e-08,8.28636008867365e-07,1.57227199742155e-07
"267",637,2.68558864668465e-05,9.01891702634175e-08,1.20176259891032e-06,1.57227199742155e-07
"268",1,NA,1.15725685934467e-07,1.71422996766654e-06,1.01855128891542e-06
"269",4,NA,1.716341040961e-07,3.23789178768429e-06,1.01855128891542e-06
"270",10,NA,7.88457931537992e-08,1.52020353252022e-06,1.01855128891542e-06
"271",13,NA,1.22121539339916e-07,3.30246697401989e-06,1.01855128891542e-06
"272",16,NA,6.14947906065543e-08,3.67590150457318e-07,1.01855128891542e-06
"273",21,NA,8.14863094968649e-08,1.35434008268889e-06,2.87740840779645e-06
"274",23,NA,7.23850453693945e-08,1.54975186635384e-06,2.87740840779645e-06
"275",26,NA,1.48148407293598e-08,3.77945857402463e-07,2.87740840779645e-06
"276",28,NA,4.73820002881188e-08,1.04877431351537e-06,2.87740840779645e-06
"277",30,NA,2.78183461972552e-08,4.04475406841765e-07,2.87740840779645e-06
"278",33,NA,2.36649427363889e-07,2.97173809421923e-06,1.46704604941678e-06
"279",37,NA,1.31276469776904e-07,2.51675919013076e-06,1.46704604941678e-06
"280",39,NA,6.24733197830786e-08,1.13555265304399e-06,1.46704604941678e-06
"281",44,NA,1.75907469664112e-08,2.87073261568711e-07,1.46704604941678e-06
"282",45,NA,1.86694594011255e-08,3.82100065001071e-07,1.46704604941678e-06
"283",46,NA,6.40881363456282e-08,1.98568890435838e-06,1.46704604941678e-06
"284",48,NA,1.58545831236384e-07,4.06653585697183e-06,1.46704604941678e-06
"285",54,NA,1.43855630531795e-08,4.34044401049651e-07,3.76936622222388e-06
"286",64,NA,1.44095816022124e-07,2.37290291993599e-06,3.76936622222388e-06
"287",68,NA,2.70085455130538e-08,6.86300304418382e-07,1.91996224815832e-05
"288",70,NA,7.14176146245132e-08,1.32052721852838e-06,1.91996224815832e-05
