"","type","commonness","hhid","cfrid"
"152","sold",1.25198127660848e-07,376,37
"153","sold",7.90640277391356e-08,379,37
"154","sold",7.17213114432545e-07,381,37
"155","sold",1.86671628063338e-06,382,37
"156","sold",3.07299481810306e-07,383,37
"157","sold",5.5779600358747e-07,384,37
"158","sold",6.7752876966364e-09,385,31
"159","sold",1.43150540639751e-07,386,31
"160","sold",4.67514685725265e-09,388,31
"161","sold",7.97327027265508e-07,393,31
"162","sold",1.18402754025466e-08,394,31
"163","sold",1.18091461802811e-07,396,31
"164","sold",4.61165526216381e-07,397,31
"165","sold",1.02312920094551e-06,400,31
"166","sold",2.90784516488459e-08,408,29
"167","sold",4.6351147726563e-07,409,29
"168","sold",1.50092459011222e-06,412,29
"169","sold",2.0664560309259e-06,413,29
"170","sold",1.98707950941658e-08,414,29
"171","sold",6.37573282921664e-07,415,29
"172","sold",1.11992271328954e-07,418,33
"173","sold",3.99879242877385e-06,419,33
"174","sold",1.66709101594903e-06,420,33
"175","sold",6.77904781049547e-06,423,33
"176","sold",1.89770746677902e-06,425,33
"177","sold",4.20337817632316e-06,427,33
"178","sold",3.23908101831302e-07,429,33
"179","sold",2.50437339968748e-06,430,33
"180","sold",4.45336795738403e-06,432,33
"181","sold",1.36455558145673e-06,436,17
"182","sold",2.17295019548528e-08,440,17
"183","sold",3.54334867593479e-08,442,17
"184","sold",7.93969043021169e-07,443,17
"185","sold",4.54539343659497e-07,444,17
"186","sold",7.14623426366976e-07,449,28
"187","sold",2.65738330186622e-06,451,28
"188","sold",5.61634079290264e-08,452,28
"189","sold",5.5863096736551e-06,453,28
"190","sold",4.21878895662181e-08,454,28
"191","sold",4.70540540301841e-08,458,28
"192","sold",6.65327690599616e-07,462,28
"193","sold",7.25839996819577e-07,463,28
"194","sold",9.65443902997178e-07,464,28
"195","sold",3.20892589786271e-07,469,26
"196","sold",6.69938182516284e-07,470,26
"197","sold",2.78967353136589e-07,472,26
"198","sold",3.29470496635008e-07,473,26
"199","sold",8.82593269106612e-07,474,26
"200","sold",2.60331097654066e-06,478,26
"201","sold",6.63619216874052e-07,480,26
"202","sold",2.49188948539105e-06,482,23
"203","sold",3.21839271945911e-07,488,23
"204","sold",3.9624216106695e-07,489,23
"205","sold",2.85362270035804e-06,491,23
"206","sold",1.43578240830554e-06,493,23
"207","sold",3.3129751670872e-07,494,23
"208","sold",1.41393620541042e-07,495,23
"209","sold",1.32062290763971e-06,497,30
"210","sold",1.04523905261148e-07,498,30
"211","sold",3.25201289493701e-07,504,30
"212","sold",5.77373390672804e-07,505,30
"213","sold",6.93880189059062e-07,508,30
"214","sold",2.09477211031877e-07,510,30
"215","sold",2.63720167989595e-07,511,30
"216","sold",4.70857738306962e-06,516,21
"217","sold",5.4911749439168e-07,519,21
"218","sold",2.08664645123251e-06,524,21
"219","sold",3.04125354902232e-07,526,21
"220","sold",4.59959420490515e-08,529,4
"221","sold",1.03617441250383e-09,530,4
"222","sold",7.27073138369397e-07,532,4
"223","sold",1.80450692379695e-07,533,4
"224","sold",8.23676241587521e-07,536,4
"225","sold",3.04871779240705e-07,538,4
"226","sold",4.46657204478939e-08,540,4
"227","sold",9.92037131378251e-08,543,4
"228","sold",1.24972531928892e-06,545,7
"229","sold",1.68978769058516e-07,547,7
"230","sold",5.25527471461763e-07,550,7
"231","sold",6.28576217580698e-07,551,7
"232","sold",7.01964696116955e-07,552,7
"233","sold",3.07907496261032e-07,553,7
"234","sold",6.66760888062064e-07,555,7
"235","sold",1.72651378380442e-07,556,7
"236","sold",3.33496645460883e-07,557,7
"237","sold",9.64262658053031e-07,563,34
"238","sold",1.11248115351364e-06,564,34
"239","sold",2.37877804601656e-07,566,34
"240","sold",6.53055076269552e-07,570,34
"241","sold",3.95783320689307e-06,573,34
"242","sold",3.32437146630364e-07,574,34
"243","sold",2.05897187787903e-07,576,34
"244","sold",8.657272744789e-07,577,35
"245","sold",1.31822960111674e-08,589,35
"246","sold",1.55486456255027e-06,590,35
"247","sold",1.09965683877376e-06,592,35
"248","sold",2.86009438128828e-07,594,16
"249","sold",5.41523393808761e-08,595,16
"250","sold",1.6652889879861e-07,597,16
"251","sold",2.84460465607432e-07,598,16
"252","sold",7.14982971838575e-08,599,16
"253","sold",7.37741566022579e-08,602,16
"254","sold",9.06108820400542e-07,604,16
"255","sold",3.34756407692697e-08,605,16
"256","sold",2.65274390105172e-07,606,16
"257","sold",4.07090322702798e-07,610,14
"258","sold",8.04404424775544e-08,616,14
"259","sold",7.58606519540019e-08,621,14
"260","sold",4.37272018879594e-08,624,14
"261","sold",1.92553986390153e-07,625,11
"262","sold",2.71233093453359e-08,629,11
"263","sold",3.01123258113539e-07,631,11
"264","sold",1.00147682232502e-07,632,11
"265","sold",2.02591650068069e-07,633,11
"266","sold",2.74903226685768e-07,636,11
"267","sold",6.97555492645362e-07,637,11
"268","catch",1.15725685934467e-07,1,1
"269","catch",3.60528444212043e-07,2,1
"270","catch",1.716341040961e-07,4,1
"271","catch",1.01012430174788e-07,5,1
"272","catch",2.74135634819478e-07,7,1
"273","catch",1.98189063780124e-07,8,1
"274","catch",7.53806633574682e-07,9,1
"275","catch",7.88457931537992e-08,10,1
"276","catch",1.04796132249686e-07,12,1
"277","catch",1.22121539339916e-07,13,1
"278","catch",1.30308799635721e-07,14,1
"279","catch",6.14947906065543e-08,16,1
"280","catch",5.05119816981323e-08,19,2
"281","catch",5.24072371655461e-08,20,2
"282","catch",8.14863094968649e-08,21,2
"283","catch",1.37060537489536e-07,22,2
"284","catch",7.23850453693945e-08,23,2
"285","catch",3.88367974785788e-08,24,2
"286","catch",1.51776578195293e-07,25,2
"287","catch",1.48148407293598e-08,26,2
"288","catch",4.73820002881188e-08,28,2
"289","catch",2.78183461972552e-08,30,2
"290","catch",7.42140442976908e-08,31,2
"291","catch",2.36649427363889e-07,33,32
"292","catch",2.48333613208406e-07,34,32
"293","catch",1.31276469776904e-07,37,32
"294","catch",1.33714777207395e-07,38,32
"295","catch",6.24733197830786e-08,39,32
"296","catch",6.367755092472e-07,40,32
"297","catch",4.29435625734139e-07,41,32
"298","catch",6.93667696863405e-07,43,32
"299","catch",1.75907469664112e-08,44,32
"300","catch",1.86694594011255e-08,45,32
"301","catch",6.40881363456282e-08,46,32
"302","catch",7.97448365396875e-07,47,32
"303","catch",1.58545831236384e-07,48,32
"304","catch",9.48804773578615e-07,49,10
"305","catch",2.44596100336164e-07,50,10
"306","catch",2.93598535224296e-07,51,10
"307","catch",1.50287911425099e-07,53,10
"308","catch",1.43855630531795e-08,54,10
"309","catch",5.96092038883596e-07,55,10
"310","catch",5.03986831870844e-07,56,10
"311","catch",2.04976690577474e-07,58,10
"312","catch",4.85565099064506e-07,61,10
"313","catch",3.47055880569373e-07,62,10
"314","catch",1.44095816022124e-07,64,10
"315","catch",1.94794621476131e-07,67,6
"316","catch",2.70085455130538e-08,68,6
"317","catch",1.33329632603547e-07,69,6
"318","catch",7.14176146245132e-08,70,6
"319","catch",1.54371700737023e-07,71,6
"320","catch",8.89079875002402e-08,72,6
"321","catch",5.08523940249022e-07,73,6
"322","catch",5.83486581998247e-07,74,6
"323","catch",5.60146594581548e-07,75,6
"324","catch",1.7137810055029e-07,79,6
"325","catch",2.30784547612819e-07,83,12
"326","catch",3.52728705799381e-07,84,12
"327","catch",1.10537388210674e-07,85,12
"328","catch",1.15689696534229e-06,86,12
"329","catch",5.11308995272833e-07,87,12
"330","catch",3.48229273154209e-07,88,12
"331","catch",4.03138025936104e-07,89,12
"332","catch",2.83255183291238e-07,93,12
"333","catch",5.41227922454477e-07,94,12
"334","catch",4.99382109700001e-07,96,12
"335","catch",1.66913469187566e-07,97,27
"336","catch",4.40888003755832e-08,98,27
"337","catch",2.21097820501321e-07,99,27
"338","catch",8.92885243312462e-08,101,27
"339","catch",8.20699104586211e-08,102,27
"340","catch",1.36797454422816e-07,103,27
"341","catch",4.51196246425968e-08,106,27
"342","catch",1.56141734558761e-07,107,27
"343","catch",2.84083504529081e-07,109,27
"344","catch",3.78263063712861e-07,110,27
"345","catch",1.22200402970373e-07,113,20
"346","catch",1.33969860638744e-07,115,20
"347","catch",8.04503787984996e-08,116,20
"348","catch",9.11262429570514e-08,117,20
"349","catch",2.25985188273066e-07,118,20
"350","catch",7.82832830667951e-08,119,20
"351","catch",1.82840570867401e-07,120,20
"352","catch",3.40515547595102e-07,121,20
"353","catch",1.51387263618892e-07,122,20
"354","catch",8.88314007597869e-08,123,20
"355","catch",2.21847620051947e-07,126,20
"356","catch",8.21832707445038e-08,129,24
"357","catch",9.48747767609446e-08,131,24
"358","catch",2.09818264007161e-07,132,24
"359","catch",6.2776338724743e-08,133,24
"360","catch",1.09540818392488e-07,135,24
"361","catch",1.71494512775791e-07,136,24
"362","catch",1.30844786230864e-07,137,24
"363","catch",1.29814920773483e-07,138,24
"364","catch",1.18880226536087e-07,139,24
"365","catch",1.0608908336107e-07,141,24
"366","catch",1.26863602310393e-07,143,24
"367","catch",4.62276850112542e-08,145,5
"368","catch",9.7170520792376e-08,147,5
"369","catch",1.47088038969859e-07,150,5
"370","catch",1.52371072666773e-07,151,5
"371","catch",1.85191727183113e-07,155,5
"372","catch",1.89512931665909e-07,156,5
"373","catch",5.67024910167715e-08,157,5
"374","catch",1.87319326567144e-07,158,5
"375","catch",4.17520752771844e-07,159,5
"376","catch",2.18852242754361e-07,160,5
"377","catch",1.02138543134841e-07,161,15
"378","catch",1.44231927236065e-07,162,15
"379","catch",1.03762297678537e-07,163,15
