"","hhid","catch","cons","sold","cfr"
"1",1,67.2828512224929,60.0769221039521,NA,28.259369587988
"2",2,39.8876422718433,45.6408912128224,36.599998,28.259369587988
"3",4,79.2215225872197,65.3426240199993,NA,28.259369587988
"4",5,22.8777341306125,25.9021468392466,NA,28.259369587988
"5",7,55.6992501105353,58.75824226477,93.2996968497747,28.259369587988
"6",8,76.0688416464781,65.143652561231,105.637646823529,28.259369587988
"7",9,90.8949197092447,83.4466634017495,116.200489069163,28.259369587988
"8",10,45.9390690695517,53.1672050111686,NA,28.259369587988
"9",12,40.0586287857966,32.9262049316128,84.0444435555556,28.259369587988
"10",13,44.319955050462,51.2245756257325,NA,28.259369587988
"11",14,53.8351157204569,56.128488409416,19.8199996892,28.259369587988
"12",16,72.8801884152634,50.5863093795564,NA,28.259369587988
"13",19,42.4128538286052,38.3637418011242,38.571296007434,31.3200736620939
"14",20,37.4953614025456,31.7658173222083,36.599998,31.3200736620939
"15",21,24.5904797215319,44.1393241768473,NA,31.3200736620939
"16",22,56.138998524496,71.3054009520916,42.3074057037037,31.3200736620939
"17",23,52.2446273050359,54.7657541445047,NA,31.3200736620939
"18",24,34.6742966708433,37.1212484318593,20.527499589691,31.3200736620939
"19",25,49.5746723912457,51.6095142154211,122,31.3200736620939
"20",26,41.8894041136926,41.7782064633093,NA,31.3200736620939
"21",28,42.3554934952983,44.1804835559886,NA,31.3200736620939
"22",30,44.0949299915006,36.495222422849,NA,31.3200736620939
"23",31,42.0138437323535,46.909778522328,51.24,31.3200736620939
"24",33,81.299561150247,71.9307896587726,NA,37.6809822236912
"25",34,74.0954640582891,76.7332520371963,107.301818733223,37.6809822236912
"26",37,42.6602998850204,63.1160168411676,NA,37.6809822236912
"27",38,64.5736301910812,68.7498256618516,111.775365207104,37.6809822236912
"28",39,70.4412125192418,56.925811127709,NA,37.6809822236912
"29",40,84.2657331108204,91.4304875883997,95.2515085974731,37.6809822236912
"30",41,64.7407625721957,70.5735981124402,81.5706347242691,37.6809822236912
"31",43,99.8392189274299,111.351771275471,122,37.6809822236912
"32",44,47.5059552154481,60.0605599511256,NA,37.6809822236912
"33",45,63.4255711107476,53.8011462842419,NA,37.6809822236912
"34",46,53.8146551811971,52.9969382758057,NA,37.6809822236912
"35",47,83.4708217309666,91.2751158406694,122,37.6809822236912
"36",48,68.2051963845711,73.9080460004448,NA,37.6809822236912
"37",49,81.6715864399187,71.9066378927816,106.59670781893,57.9346191831223
"38",50,86.6053970557296,77.3018151949692,113.589263777038,57.9346191831223
"39",51,65.7447543845513,60.0270729930914,70.9289488268787,57.9346191831223
"40",53,61.7235102115474,59.4195246639746,122,57.9346191831223
"41",54,38.386,39.7286683186629,NA,57.9346191831223
"42",55,72.8680049784055,63.9045258582883,93.3074924649195,57.9346191831223
"43",56,102.287770265588,78.8903766531579,121.534210506129,57.9346191831223
"44",58,52.786914984756,41.8147002391843,80.3161135799288,57.9346191831223
"45",61,90.4049181313903,72.4469083562679,113.157754523661,57.9346191831223
"46",62,70.5283621163352,59.2308439068998,36.599998,57.9346191831223
"47",64,60.4969199119889,57.3541867888908,NA,57.9346191831223
"48",67,46.1378415406701,34.9531494999767,54.2202189138915,88.3885974010781
"49",68,42.149999394625,56.4150937711325,NA,88.3885974010781
"50",69,62.5328718774258,56.2601169775626,78.7016819778815,88.3885974010781
