Type,Order,Family,Genus,temp_checklist,speciescode,Genus.Species,Closest.Taxa,speciesName,Updated Taxonomy,In Master Database?,Genus in masterbase?,speciescode,SpeciesGroup,Number of them,,Find any papers?,Confirmed/Notes
Fish,Siluriformes,Siluridae,Ompok,,67,Ompok bimaculatus,Ompok bimaculatus,Ompok bimaculatus/Hemisilurus mekongensis,No,Yes,Yes,67,23,2,,,
Fish,Siluriformes,Siluridae,Ompok,,110,Ompok hypophthalmus,Ompok spp,Ompok hypophthalmus/urbaini,No,No,Yes,110,24,,,,
Fish,Synbranchiformes,Synbranchidae,Ophisternon,,77,Ophisternon bengalense,,Ophisternon bengalense,No,No,No,77,28,,,No ,Eel
Fish,Perciformes,Cichlidae,Oreochromis,,112,Oreochromis niloticus,Oreochromis niloticus,Oreochromis niloticus,No,Yes,Yes,112,41,112,,,
Fish,Cypriniformes,Cyprinidae,Osteochilus,,102,Osteochilus vittatus,Osteochilus vittatus,Osteochilus lini/vittatus,No,Yes,Yes,102,34,3,,,
Fish,Cypriniformes,Cyprinidae,Osteochilus,,105,Osteochilus melanopleurus,Osteochilus vittatus,Osteochilus melanopleurus,No,Yes,Yes,105,37,1,,,
Fish,Cypriniformes,Cyprinidae,Osteochilus,,147,Osteochilus microcephalus,Osteochilus vittatus,Osteochilus microcephalus,No,No,Yes,147,34,,,,
Fish,Cypriniformes,Cyprinidae,Osteochilus,,146,Osteochilus waandersii,Osteochilus vittatus,Osteochilus waandersii,No,No,Yes,146,34,,,,
Fish,Perciformes,Eleotridae,Oxyeleotris,,78,Oxyeleotris marmorata,Oxyeleotris marmorata,Oxyeleotris marmorata,No,Yes,Yes,78,29,1,,,
Fish,Cypriniformes,Cyprinidae,Oxygaster,,107,Oxygaster pointoni,,Oxygaster pointoni,No,No,No,107,38,,,No,
Fish,Siluriformes,Pangasiidae,Pangasianodon,,86,Pangasianodon hypophthalmus,Pangasianodon hypophthalmus,Pangasianodon hypophthalmus,No,Yes,Yes,86,33,11,,,
Fish,Cypriniformes,Cobitidae,Pangio,,80,Pangio fusca,Pangio fusca,Pangio fusca,No,No,No,80,31,,,,Look up nutritional composition
Fish,Cypriniformes,Cyprinidae,Paralaubuca,,108,Paralaubuca typus,,Paralaubuca typus,No,No,No,108,38,,,No,
Fish,Perciformes,Ambassidae,Parambassis,,48,Parambassis apogonoides,Parambassis spp,Parambassis apogonoides,No,No,Yes,48,16,,,,
Fish,Perciformes,Ambassidae,Parambassis,,50,Parambassis siamensis,Parambassis spp,Parambassis siamensis,No,No,Yes,50,16,,,,
Fish,Perciformes,Ambassidae,Parambassis,,49,Parambassis wolffii,Parambassis wolffii,Parambassis wolffii,No,Yes,Yes,49,16,3,,,
Fish,Siluriformes,Siluridae,Phalacronotus,,134,Phalacronotus bleekeri,Phalacronotus bleekeri,Phalacronotus bleekeri,No,Yes,Yes,134,49,2,,,
Fish,Cypriniformes,Cyprinidae,Poropuntius,,101,Poropuntius normani,,Poropuntius normani,No,No,No,101,34,,,No,
Fish,Perciformes,Pristolepididae,Pristolepis fasciata,,47,Pristolepis fasciata,,Pristolepis fasciata,No,No,No,47,15,,,No,
Fish,Siluriformes,Bagridae,Pseudomystus,,139,Pseudomystus siamensis,,Pseudomystus siamensis,No,No,No,139,1,,,No,
Fish,Cypriniformes,Cyprinidae,Puntioplites,,39,Puntioplites falcifer,Puntioplites proctozystron,Puntioplites falcifer,No,No,Yes,39,11,,,,
Fish,Cypriniformes,Cyprinidae,Puntioplites,,37,Puntioplites proctozystron,Puntioplites proctozystron,Puntioplites proctozystron,No,Yes,Yes,37,11,2,,,
Fish,Cypriniformes,Cyprinidae,Barbodes,,18,Barbodes aurotaeniatus,,Puntius aurotaeniatus,Barbodes aurotaeniatus,No,No,18,5,,No,,Use Puntius
Fish,Cypriniformes,Cyprinidae,Puntius,,16,Puntius brevis,Puntius brevis,Puntius brevis,No,Yes,Yes,16,5,3,,Genus is probably Barbodes,
Fish,Cypriniformes,Cyprinidae,Barbodes,,19,Barbodes rhombeus,,Puntius rhombeus,Barbodes rhombeus,No,No,19,5,,"No, but found several other Puntius papers while searching",,Use Puntius
Fish,Cypriniformes,Cyprinidae,Puntius,,17,Puntius spp,Puntius spp,Puntius sp. (cf. masyai),,,Yes,17,5,,,Genus is probably Barbodes,
Fish,Cypriniformes,Cyprinidae,Rasbora,,29,Rasbora aurotaenia,Rasbora spp,Rasbora aurotaenia,No,Yes,Yes,29,9,2,,,
Fish,Cypriniformes,Cyprinidae,Rasbora,,32,Rasbora borapetensis,Rasbora borapetensis,Rasbora borapetensis,No,Yes,Yes,32,9,2,,,
Fish,Cypriniformes,Cyprinidae,Rasbora,,138,Rasbora caudimaculata,,Rasbora caudimaculata,No,No,Yes,138,9,,,,
Fish,Cypriniformes,Cyprinidae,Rasbora,,28,Rasbora daniconius,Rasbora spp,Rasbora daniconius,No,No,Yes,28,9,,,,
Fish,Cypriniformes,Cyprinidae,Rasbora,,31,Rasbora spp,Rasbora spp,Rasbora myersi/Rasbora dusonensis,No,No,Yes,31,9,,,,
Fish,Cypriniformes,Cyprinidae,Trigonopoma,,30,Trigonopoma pauciperforatum,,Rasbora pauciperforata/Trigonopoma pauciperforatum,Trigonopoma pauciperforatum,No,No,30,9,,,"No, not for either genus",Use Rasbora
Fish,Cypriniformes,Cyprinidae,Rasbora,,34,Rasbora paviana,Rasbora spp,Rasbora paviana,No,No,Yes,34,9,,,,
Fish,Cypriniformes,Cyprinidae,Rasbora,,33,Rasbora tornieri,Rasbora tornieri,Rasbora tornieri,No,Yes,Yes,33,9,3,,,
,Cypriniformes,Cyprinidae,Rasbora,,,Rasbora tornieri / aurotaenia,Rasbora tornieri / aurotaenia,Rasbora tornieri / aurotaenia,,,,,,,,,
Fish,Cypriniformes,Cobitidae,Syncrossus,,83,Syncrossus beauforti,,Syncrossus beauforti,No,No,No,83,32,,,No,
