Species,Community,Total,Consumed,Sold,numday,Tot_daily,Cons_daily,Sold_daily,LongMig,TG,TL,Pr_content,Fe_content,Zn_content,Ca_content,VitA_content,O3_content,Pr_MinBio,Fe_MinBio,Zn_MinBio,Ca_MinBio,VitA_MinBio,O3_MinBio,Pr_RDA_100g,Fe_RDA_100g,Zn_RDA_100g,Ca_RDA_100g,VitA_RDA_100g,O3_RDA_100g,Num_RDA_100,Num_RDA_50
Clarias macrocephalus,Cambodia,1024.002705,533.3920135,256.866441,1103,9.283796053,4.835829678,2.328798196,NA,3.700000048,120,17.8,1.5796326,1.3944148,42.2017278,30.8128619,118.7795,73.03370787,477.9592419,294.0301552,1066.307053,1298.159195,239.9403938,1.369230769,0.209222861,0.340101171,0.093781617,0.077032155,0.416770175,1,1
Clarias meladerma,Cambodia,226.8391198,129.7726659,58.310202,1103,2.056565003,1.176542755,0.52865097,NA,3.49000001,42.70000076,20.5867014,1.7706938,1.4201989,73.0268333,25.8482197,285.6923184,63.14756185,426.3865384,288.6919572,616.2118494,1547.495358,99.75766993,1.583592415,0.23452898,0.346389976,0.162281852,0.064620549,1.002429187,2,2
Clupeichthys aesarnensis,Cambodia,3.39982,2.304816,0.84,1103,0.030823391,0.020895884,0.007615594,NA,2.890000105,8.539999962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clupeichthys goniognathus,Cambodia,2.165,1.91875,0,1103,0.019628286,0.017395739,0,NA,3.099999905,10.97999954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clupeoides borneensis,Cambodia,7.8031,5.710695,0,1103,0.070744334,0.051774207,0,NA,3.099999905,9.760000229,17.5181292,2.91,8.67,4830,89.6253475,112.3916352,74.20883732,259.4501718,47.28950404,9.316770186,446.3023142,253.5775901,1.3475484,0.385430464,2.114634146,10.73333333,0.224063369,0.394356615,3,3
Corica laciniata,Cambodia,0.72,0.288,0,1103,0.006527652,0.002611061,0,NA,3.089999914,8.539999962,13.868,2.2133333,9.8068,650.4816667,300,NA,93.74098644,341.114463,41.80772525,69.17950544,133.3333333,NA,1.066769231,0.293156728,2.391902439,1.445514815,0.75,NA,3,4
Cosmochilus harmandi,Cambodia,0.458,0.4387,0,1103,0.004152312,0.003977335,0,NA,2,100,21.9917295,2.9093397,2.7991401,539.5341655,97.7275316,238.5207208,59.1131316,259.5090563,146.4735545,83.40528344,409.3012414,119.4864744,1.6916715,0.385343007,0.682717098,1.198964812,0.244318829,0.83691481,2,4
Cyclocheilichthys apogon,Cambodia,472.1628985,234.3978213,64.0047195,1103,4.280715308,2.125093575,0.580278509,NA,2.900000095,28.70000076,23.4762418,7.61,7.05,3250,100,307.7378975,55.37513249,99.21156373,58.15602837,13.84615385,400,92.61127808,1.805864754,1.00794702,1.719512195,7.222222222,0.25,1.079782096,5,5
Cyclocheilichthys armatus,Cambodia,38.1104189,22.5806104,0,1103,0.345516037,0.204719949,0,NA,3.380000114,28.05999947,22.2895036,12.7,12.25,4580,511.5,279.9404991,58.32341641,59.4488189,33.46938776,9.825327511,78.20136852,101.8073487,1.7145772,1.682119205,2.987804878,10.17777778,1.27875,0.982247365,5,6
Cyclocheilichthys enoplos,Cambodia,6.7,2.3265,3.75,1103,0.060743427,0.021092475,0.033998187,NA,3.150000095,90.27999878,21.2455827,1.7446386,2.2581645,137.3521556,81.9100014,27,61.18919017,432.7543825,181.5633892,327.6250002,488.3408536,1055.555556,1.634275592,0.23107796,0.550771829,0.305227012,0.204775004,0.094736842,1,2
